Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"R.A. Dickey","TOR",214.1,-3.731576919555664,,,,,,,,,-1.1237376928329468,,,11.920722007751465,"R.A. Dickey",1245,285079
"Steven Wright","BOS",72.2,2.1371865272521973,,,,,,,-5.000615686178207,,,,,1.3251419067382812,"Steven Wright",8185,453214
"Neftalí Feliz","- - -",48,-4.938105404376984,,,,,0.6230880618095398,0.002123892307281494,0.008646372705698013,,,1.0587322115898132,,,"Neftali Feliz",18,491703
"Xavier Cedeño","- - -",46,-2.560363531112671,,,0.0372450090944767,,-0.5495541095733643,,10.820930361747742,,,0.23650361597537994,,,"Xavier Cedeno",36,458584
"Jason Marquis","CIN",47.1,,,,,,-9.581586837768555,-0.7602438926696777,,,,-2.0507657527923584,,,"Jason Marquis",105,150302
"Rafael Betancourt","COL",39.1,0.7073519825935364,,0.19009102880954742,,,,-2.7281758785247803,,,,0.01817372441291809,,,"Rafael Betancourt",177,429783
"Mark Buehrle","TOR",198.2,4.771958351135254,,-4.462666988372803,,,-7.005321979522705,,1.7043359279632568,,,3.854931354522705,,,"Mark Buehrle",225,279824
"Bartolo Colon","NYM",194.2,-6.004956096410751,,,,,11.429157137870789,-4.200422093272209,-0.07638713717460632,,,-0.6016202867031097,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",167.1,0.9160219430923462,,-0.05873878672719002,,,-12.2252779006958,-5.360430717468262,,,,2.201164960861206,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",62.2,-2.8637644946575165,,,,,-4.04512295126915,,,,,4.137306213378906,,,"Fernando Rodney",494,407845
"A.J. Burnett","PIT",164,-4.107465744018555,,,,,7.367039680480957,,,-2.9164633750915527,,0.1633121818304062,,,"A.J. Burnett",512,150359
"Jason Grilli","ATL",33.2,-0.08596348762512207,,,,,-0.3694920837879181,3.932480812072754,,,,-0.04601837694644928,,,"Jason Grilli",521,276351
"Jeremy Affeldt","SFG",35.1,,,,,,-8.247355461120605,,1.5287927389144897,,,1.3156423568725586,,,"Jeremy Affeldt",583,346793
"LaTroy Hawkins","- - -",38.2,0.8847931623458862,,,,,0.3640882149338722,-0.9544789679348469,-0.36231572180986404,,,0.6113604754209518,,,"LaTroy Hawkins",729,115629
"Kyle Lohse","MIL",152.1,-2.204259753227234,,,,,-15.999378681182861,2.2477150559425354,-3.5702197551727295,,,-0.3051583766937256,,,"Kyle Lohse",739,346798
"Randy Choate","STL",27.1,-0.06275201588869095,,,,,-1.4521231651306152,1.4566185474395752,,,,,,,"Randy Choate",813,329092
"Scott Carroll","CHW",36.2,-1.886074185371399,,-0.31737878918647766,,,1.7226930856704712,0.10281221568584442,1.214299201965332,,,-3.047980308532715,,,"Scott Carroll",888,453222
"Tim Hudson","SFG",123.2,-0.339540496468544,,2.7940294481813908,0.8656979352235794,,-8.46288275718689,,5.434571415185928,,,,,,"Tim Hudson",921,218596
"Randy Wolf","DET",34.2,-2.8902679085731506,,,,,-6.211709022521973,1.3891609907150269,-0.11498355865478516,,,-1.2141102328896523,,,"Randy Wolf",976,150116
"Joe Beimel","SEA",47.1,-2.0612103939056396,,,,,0.712260901927948,-1.9457660913467407,-0.29014527797698975,-0.03492240607738495,,0.42302122712135315,,,"Joe Beimel",979,346847
"Aaron Thompson","MIN",32.1,0.4548352062702179,,,,,,3.501441478729248,-0.49452829360961914,,,-0.02201329544186592,,,"Aaron Thompson",999,457744
"Ryan Vogelsong","SFG",135,-2.176989197731018,,-0.03492240607738495,,,-2.7669269517064095,2.146571636199951,-0.9360835552215576,,,-5.0437846183776855,,,"Ryan Vogelsong",1011,285064
"Jake Peavy","SFG",110.2,8.107956886291504,,4.715751647949219,,,-5.361800670623779,1.476080060005188,0.18090397119522095,,,-0.855843722820282,,,"Jake Peavy",1051,408241
"Marco Estrada","TOR",181,9.359044462442398,,-2.0130428671836853,,,,,-0.7237590253353119,,,13.111472845077515,,,"Marco Estrada",1118,462136
"Jerome Williams","PHI",121,-10.170083187520504,,3.336110472679138,,,-8.404500961303711,-0.7840031981468201,-1.8939184360206127,,,-4.687006950378418,,,"Jerome Williams",1137,425532
"Tommy Hunter","- - -",60.1,5.125607907772064,,2.3528056293725967,,,-5.329798579216003,0.013281699270009995,1.409607082605362,,,-0.023963309824466705,,,"Tommy Hunter",1157,488984
"Colby Lewis","TEX",204.2,-8.199687004089355,,,,,-0.944877564907074,7.629732608795166,-3.1194748878479004,,,2.022110939025879,,,"Colby Lewis",1259,407890
"Nick Hagadone","CLE",27.1,-4.602789402008057,,2.8115782737731934,,,,0.3509104251861572,,,,,,,"Nick Hagadone",1351,444935
"Charlie Furbush","SEA",21.2,4.728866100311279,,,,,0.8327619433403015,0.8092414140701294,0.48909199237823486,,,-0.023963309824466705,,,"Charlie Furbush",1370,518703
"Joaquín Benoit","SDP",65.1,7.07536506652832,,,,,-3.9444963932037354,2.7891950607299805,,,,6.452388763427734,,,"Joaquin Benoit",1437,276542
"Aaron Harang","PHI",172.1,5.325488090515137,,,,,-4.386275768280029,-3.8944315910339355,-3.0602200031280518,,,-8.013304710388184,,,"Aaron Harang",1451,421685
"Felix Doubront","- - -",75.1,-14.940646588802338,,0.017397820949554443,,,0.12941968441009521,,-0.1594887375831604,,,4.842820964753628,,,"Felix Doubront",1478,467094
"John Lackey","STL",218,7.134486198425293,,-2.5425732135772705,,,15.196349143981934,,1.0795583724975586,,,0.07116799056529999,,,"John Lackey",1507,407793
"Oliver Pérez","- - -",41,-1.6390955448150635,,,,,-1.7331441044807434,4.698121428489685,,,,0,,,"Oliver Perez",1514,424144
"Francisco Rodríguez","MIL",57,-5.591687202453613,,,,,1.1060636043548584,,0.3409806191921234,,,17.652509689331055,,,"Francisco Rodriguez",1642,408061
"Javier López","SFG",39.1,,,,,,11.286733627319336,3.1340110301971436,0.7576449513435364,,,-1.405402421951294,,,"Javier Lopez",1663,425657
"Chris Capuano","NYY",40.2,,,,,,-4.051347196102142,-0.00014542043209075928,-0.7108114659786224,,,-6.669519782066345,,,"Chris Capuano",1701,425626
"Dan Haren","- - -",187.1,-0.11730766296386719,,10.98665738105774,-2.3679205179214478,,0.43603765964508057,,,-4.791029930114746,,,,,"Dan Haren",1757,429717
"Kevin Correia","PHI",23.1,0.6885597705841064,,-2.7130963802337646,,,-3.4681570529937744,-0.9687663912773132,0.016022667288780212,,,-3.0197746753692627,,,"Kevin Correia",1767,429781
"Neal Cotts","- - -",63.1,-1.7360162734985352,,,,,-1.0181567668914795,2.314652681350708,,,,-0.0891382023692131,,,"Neal Cotts",1797,425840
"Matt Belisle","STL",33.2,4.86154317855835,,,,,-0.387112021446228,-0.3454778790473938,-0.5837066769599915,,,-2.315852165222168,,,"Matt Belisle",1837,279571
"Edwin Jackson","- - -",55.2,4.798710972070694,,,,,-2.7996957302093506,2.654839873313904,0.49512051045894623,,,1.4613666534423828,,,"Edwin Jackson",1841,429719
"Ryan Madson","KCR",63.1,2.8563222885131836,,-0.84047532081604,,,-0.3190785050392151,,,,,9.12116527557373,,,"Ryan Madson",1852,425492
"Matt Moore","TBR",63,-4.990723609924316,,0.6418569684028625,,,-1.0460947751998901,,,-0.3891544044017792,,-2.751488447189331,,,"Matt Moore",1890,519043
"David Aardsma","ATL",30.2,-2.508976459503174,,,-1.362499475479126,,,5.185479164123535,,,,,,,"David Aardsma",1902,430911
"Jason Frasor","- - -",28,1.9128033518791199,,,,,-0.023963309824466705,-0.6118862628936768,,,,0.40003588795661926,,,"Jason Frasor",1906,430630
"Matt Thornton","WSN",41.1,3.88767671585083,,-1.4607137441635132,,,6.045438766479492,-0.4452287256717682,,,,,,,"Matt Thornton",1918,407819
"Zack Greinke","LAD",222.2,21.23793601989746,,,,,1.692267656326294,18.360929489135742,-0.6573176383972168,,0.12239129096269608,19.154945373535156,,,"Zack Greinke",1943,425844
"Iván Nova","NYY",94,-7.365031719207764,,,,,-1.4050531387329102,,1.1155534982681274,,,-2.159151554107666,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",232.2,24.981563568115234,,,,,0.07587596774101257,17.905990600585938,17.450725555419922,,,-0.730642557144165,,,"Clayton Kershaw",2036,477132
"Justin Masterson","BOS",59.1,-8.324199438095093,,,,,-5.030584692955017,1.52899169921875,,,,-0.8094536066055298,,,"Justin Masterson",2038,475416
"Jorge De La Rosa","COL",149,-4.257011413574219,,-7.948215961456299,11.028023719787598,,0.19537490606307983,-0.18644748628139496,-0.5606414079666138,,,0.46282199025154114,,,"Jorge De La Rosa",2047,407822
"Jeremy Guthrie","KCR",148.1,-4.366814374923706,,-9.151932805776596,,,-9.71484786272049,-0.46931028366088867,-4.646601498126984,,-1.8325095176696777,-0.44482386112213135,,,"Jeremy Guthrie",2072,425386
"Chris Narveson","MIA",30.1,0.38472723960876465,,1.1190542876720428,,,-2.0668700635433197,,2.540777266025543,,,-0.7859176397323608,,,"Chris Narveson",2141,429780
"Alfredo Simon","DET",187,1.6421161890029907,,-0.12425267696380615,-6.202387809753418,,-10.020827293395996,-0.12563498318195343,-4.432713031768799,,-0.9985403418540955,-0.5893566608428955,,,"Alfredo Simon",2155,430580
"Chad Qualls","HOU",49.1,,,,,,0.6512885093688965,1.5016241073608398,,,,0.5374310612678528,,,"Chad Qualls",2170,430589
"Adam Wainwright","STL",28,2.6842786073684692,,2.2637696862220764,,,-1.658646360039711,,2.2180983424186707,,,-0.8993686437606812,,,"Adam Wainwright",2233,425794
"Blaine Boyer","MIN",65,1.0812498331069946,,,,,-0.9343465566635132,-0.9678624272346497,3.5889670848846436,,,0.056355323642492294,,,"Blaine Boyer",2237,430641
"Brandon Gomes","TBR",59,1.4351258277893066,,,0.2589561939239502,,-1.3990039825439453,-1.6135640144348145,1.7621681690216064,,,,,,"Brandon Gomes",2267,460156
"Joel Peralta","LAD",29,1.8831603527069092,,,3.2146949768066406,,,,-4.956241130828857,,,,,,"Joel Peralta",2332,407908
"Héctor Rondón","CHC",70,3.2465145587921143,,0.3174673020839691,,,1.6841380596160889,7.0743408203125,-0.05873878672719002,,,-0.8179264068603516,,,"Hector Rondon",2391,444468
"Cory Rasmus","LAA",20.2,-1.0002697221934795,,,,,-1.631639275699854,1.9513968229293823,0.00007912516593933105,,,1.7448232173919678,,,"Cory Rasmus",2413,474284
