Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Junichi Tazawa","BOS",58.2,0.31154684,0.67209776,0.49789474,0.57342657,0.85454545,0.76955603,0.51684211,29.98505232,"Junichi Tazawa",4079,547749
"Pedro Báez","LAD",51,0.32124352,0.7324263,0.54050786,0.58870968,0.76780186,0.71812081,0.53325272,29.71478261,"Pedro Baez",5420,520980
"Joel Peralta","LAD",29,0.27727273,0.69379845,0.50209205,0.73770492,0.86592179,0.83333333,0.53974895,29.70623145,"Joel Peralta",2332,407908
"Tony Sipp","HOU",54.1,0.33846154,0.66666667,0.49056604,0.51298701,0.8129771,0.70192308,0.4634434,29.1530782,"Tony Sipp",8280,448609
"Justin Miller","COL",33.1,0.27102804,0.69503546,0.51209677,0.55172414,0.81122449,0.7519685,0.56854839,28.98891967,"Justin Miller",8580,502522
"Adam Liberatore","LAD",29.2,0.24774775,0.64489796,0.45610278,0.63636364,0.81012658,0.76525822,0.52462527,28.6909621,"Adam Liberatore",10637,571893
"Hunter Strickland","SFG",51.1,0.25886525,0.72789116,0.54495159,0.56164384,0.78193146,0.74111675,0.60995851,28.54347826,"Hunter Strickland",7836,519326
"Jason Frasor","- - -",28,0.23938224,0.65808824,0.45386064,0.61290323,0.88268156,0.81327801,0.51224105,28.50255102,"Jason Frasor",1906,430630
"Alex Torres","NYM",34.1,0.17682927,0.64308682,0.40375587,0.5,0.855,0.7751938,0.48669797,28.28051392,"Alex Torres",7038,456776
"Joaquín Benoit","SDP",65.1,0.37308348,0.7011236,0.51453488,0.52054795,0.78846154,0.6779661,0.43120155,28.1888587,"Joaquin Benoit",1437,276542
"Bruce Rondón","DET",31,0.31205674,0.6369863,0.47735192,0.44318182,0.89784946,0.75182482,0.5087108,28.17191283,"Bruce Rondon",5766,541652
"John Axford","COL",55.2,0.22200393,0.65965583,0.44379845,0.53982301,0.84347826,0.76855895,0.50678295,28.09261745,"John Axford",9059,446099
"Sergio Romo","SFG",57.1,0.3646789,0.59478673,0.47785548,0.51572327,0.72908367,0.64634146,0.49184149,27.86423841,"Sergio Romo",9817,489265
"Francisco Rodríguez","MIL",57,0.34813084,0.62155388,0.48004837,0.46308725,0.85887097,0.71032746,0.48246675,27.7555938,"Francisco Rodriguez",1642,408061
"Jason Grilli","ATL",33.2,0.38297872,0.64590164,0.51959114,0.55555556,0.8071066,0.71803279,0.51959114,27.66746411,"Jason Grilli",521,276351
"Esmil Rogers","NYY",33,0.27106227,0.67540984,0.48442907,0.64864865,0.83009709,0.78214286,0.52768166,27.55949367,"Esmil Rogers",6317,469134
"Chris Martin","NYY",20.2,0.27368421,0.59090909,0.43556701,0.71153846,0.94017094,0.86982249,0.51030928,27.44839858,"Chris Martin",11847,455119
"Jonathan Broxton","- - -",60.1,0.31210191,0.69781312,0.51129363,0.59863946,0.84330484,0.77108434,0.5164271,27.40981241,"Jonathan Broxton",4759,455009
"George Kontos","SFG",73.1,0.3138833,0.72413793,0.52404318,0.58974359,0.89417989,0.80524345,0.51226693,27.38014184,"George Kontos",9486,502004
"Rafael Betancourt","COL",39.1,0.30333333,0.7254902,0.53272451,0.62637363,0.83011583,0.77714286,0.543379,27.3615222,"Rafael Betancourt",177,429783
"Kenley Jansen","LAD",52.1,0.31208054,0.70766129,0.55919395,0.52688172,0.74928775,0.7027027,0.62468514,27.31896552,"Kenley Jansen",3096,445276
"Blaine Boyer","MIN",65,0.29219144,0.65317919,0.49672489,0.68103448,0.89675516,0.84175824,0.56659389,27.30551181,"Blaine Boyer",2237,430641
"Darren O'Day","BAL",65.1,0.3509434,0.62900188,0.49010368,0.53763441,0.78143713,0.69423077,0.50047125,27.28534704,"Darren O'Day",3321,503285
"Alex Colomé","TBR",109.2,0.26480836,0.66385542,0.46067416,0.50877193,0.86932849,0.76379974,0.49083383,27.15275459,"Alex Colome",6661,517008
"Tyler Clippard","- - -",71,0.29296236,0.69417476,0.49471115,0.67039106,0.79487179,0.75822368,0.50284784,27.14884234,"Tyler Clippard",5640,461325
"Sam LeCure","CIN",20,0.25547445,0.46987952,0.37293729,0.71428571,0.91025641,0.84955752,0.54785479,27.11374408,"Sam LeCure",4664,459967
"Santiago Casilla","SFG",58,0.28784648,0.60143198,0.43581081,0.57037037,0.86507937,0.7622739,0.47184685,27.09017713,"Santiago Casilla",2873,433586
"Craig Kimbrel","SDP",59.1,0.2584493,0.66267465,0.46015936,0.38461538,0.76204819,0.65584416,0.49900398,27.05333333,"Craig Kimbrel",6655,518886
"Chad Qualls","HOU",49.1,0.32463768,0.66927083,0.50617284,0.51785714,0.87548638,0.76693767,0.52674897,27.02890173,"Chad Qualls",2170,430589
"LaTroy Hawkins","- - -",38.2,0.27433628,0.6941896,0.52260398,0.72580645,0.87665198,0.84429066,0.59132007,27.01078167,"LaTroy Hawkins",729,115629
"Kevin Jepsen","- - -",69.2,0.28571429,0.65008881,0.46286701,0.60588235,0.85245902,0.77425373,0.48618307,26.99294947,"Kevin Jepsen",6475,448178
"Jeurys Familia","NYM",78,0.36439268,0.65140845,0.50384944,0.43378995,0.82972973,0.68251273,0.48588537,26.90886999,"Jeurys Familia",5114,544727
"Tommy Kahnle","COL",33.1,0.23584906,0.61075949,0.42271293,0.45333333,0.77202073,0.68283582,0.49842271,26.89737991,"Tommy Kahnle",11384,592454
"Cesár Ramos","LAA",52.1,0.28813559,0.65159574,0.46134347,0.58823529,0.91428571,0.80769231,0.4765526,26.83487941,"Cesar Ramos",3357,459987
"Jeanmar Gómez","PHI",74.2,0.29359431,0.61784512,0.46020761,0.72121212,0.8746594,0.82706767,0.51384083,26.80759804,"Jeanmar Gomez",9033,491646
"Chasen Shreve","NYY",58.1,0.28816199,0.64285714,0.4365942,0.52972973,0.88215488,0.74688797,0.41847826,26.77697842,"Chasen Shreve",10855,592741
"Joe Beimel","SEA",47.1,0.25423729,0.69911504,0.47186147,0.72222222,0.89451477,0.8470948,0.48917749,26.7295082,"Joe Beimel",979,346847
"Charlie Furbush","SEA",21.2,0.28985507,0.60645161,0.45733788,0.55,0.86170213,0.76865672,0.52901024,26.66995074,"Charlie Furbush",1370,518703
"David Price","- - -",220.1,0.30288124,0.65626598,0.50740083,0.60788863,0.81761496,0.76487748,0.57874482,26.63963211,"David Price",3184,456034
"Cody Allen","CLE",69.1,0.3125,0.57217391,0.44405286,0.46857143,0.82370821,0.70039683,0.50660793,26.625,"Cody Allen",12183,592102
"David Goforth","MIL",24.2,0.34741784,0.74576271,0.52820513,0.54054054,0.87121212,0.75242718,0.45384615,26.61290323,"David Goforth",12166,592341
"Bryan Morris","MIA",63,0.3256262,0.66324435,0.48906561,0.50295858,0.89473684,0.7601626,0.48409543,26.4893918,"Bryan Morris",10234,457768
"Justin Wilson","NYY",61,0.29700855,0.694974,0.51674641,0.64028777,0.80548628,0.76296296,0.55215311,26.48846154,"Justin Wilson",4301,458677
"Jeremy Hellickson","ARI",146,0.31336406,0.65239726,0.47368421,0.62254902,0.86614173,0.78119658,0.47287449,26.4606678,"Jeremy Hellickson",4371,476451
"Nick Hagadone","CLE",27.1,0.26484018,0.75536481,0.51769912,0.55172414,0.85227273,0.77777778,0.51548673,26.44859813,"Nick Hagadone",1351,444935
"Josh Osich","SFG",28.2,0.33617021,0.76315789,0.54643629,0.43037975,0.79885057,0.68379447,0.4924406,26.44578313,"Josh Osich",11528,592612
"Neftalí Feliz","- - -",48,0.26649077,0.71395881,0.50612745,0.64356436,0.8525641,0.80145278,0.53553922,26.40522876,"Neftali Feliz",18,491703
"Mark Melancon","PIT",76.2,0.35714286,0.64879852,0.50419385,0.55263158,0.88034188,0.76524954,0.50419385,26.36856011,"Mark Melancon",4264,453343
"Pedro Villarreal","CIN",50,0.31855956,0.70023981,0.52313625,0.70434783,0.89383562,0.84029484,0.53598972,26.35018051,"Pedro Villarreal",9904,543881
"Kelvin Herrera","KCR",69.2,0.33270677,0.72527473,0.53153989,0.62711864,0.81313131,0.7556719,0.50649351,26.3469657,"Kelvin Herrera",6033,516969
"Daniel Hudson","ARI",67.2,0.29519071,0.69343066,0.48479583,0.61235955,0.78157895,0.72759857,0.47610773,26.32738095,"Daniel Hudson",7146,543339
"Enrique Burgos","ARI",27,0.31636364,0.63179916,0.46303502,0.45977011,0.82119205,0.68907563,0.46498054,26.29210526,"Enrique Burgos",3895,542609
"Aaron Barrett","WSN",29.1,0.35159817,0.59922179,0.48529412,0.38961039,0.88311688,0.71861472,0.53991597,26.27113703,"Aaron Barrett",11243,502578
"Alexi Ogando","BOS",65.1,0.27239488,0.67553191,0.4770477,0.62416107,0.81364829,0.76037736,0.50765077,26.2593985,"Alexi Ogando",10261,468396
"Chris Capuano","NYY",40.2,0.31540342,0.62839879,0.45540541,0.53488372,0.86538462,0.7388724,0.4472973,26.21917808,"Chris Capuano",1701,425626
"Pat Neshek","HOU",54.2,0.30177515,0.67455621,0.52544379,0.58823529,0.8625731,0.79954955,0.6,26.17910448,"Pat Neshek",4682,450212
"Jean Machi","- - -",58,0.22727273,0.67633929,0.4595843,0.58947368,0.87128713,0.8040201,0.51732102,26.14310345,"Jean Machi",3220,466948
"Luis Avilán","- - -",53.1,0.33254157,0.71755725,0.51842752,0.52142857,0.83687943,0.73222749,0.48280098,26.09548611,"Luis Avilan",2882,501593
"Will Harris","HOU",71,0.25087108,0.64663024,0.4443455,0.59722222,0.89295775,0.80761523,0.4888691,26.0502451,"Will Harris",3192,501789
"R.J. Alvarez","OAK",20,0.21081081,0.70873786,0.47314578,0.51282051,0.82191781,0.75675676,0.52685422,26.03942652,"R.J. Alvarez",13401,571439
"Dan Jennings","CHW",56.1,0.26244344,0.61758242,0.4425864,0.5862069,0.88256228,0.79596977,0.50724638,26.03869969,"Dan Jennings",8073,543359
"Alex Wilson","DET",70,0.27880184,0.68923611,0.51287129,0.66115702,0.92695214,0.86486486,0.57029703,26.03047091,"Alex Wilson",9239,543935
"Nick Vincent","SDP",23,0.28712871,0.73831776,0.51923077,0.67241379,0.87341772,0.81944444,0.51442308,26.02302632,"Nick Vincent",7555,543883
"Mike Dunn","MIA",54,0.25949367,0.64901961,0.46138211,0.54471545,0.79456193,0.72687225,0.51829268,26.01963534,"Mike Dunn",9948,445197
"Juan Nicasio","LAD",58.1,0.26347305,0.6726297,0.47924528,0.59090909,0.81914894,0.75984252,0.52735849,26.01430429,"Juan Nicasio",7731,504379
"Huston Street","LAA",62.1,0.30985915,0.69318182,0.47718254,0.57386364,0.8,0.71725572,0.43650794,26.01364256,"Huston Street",8258,434718
"Boone Logan","COL",35.1,0.31232092,0.63356164,0.45865835,0.42201835,0.81081081,0.66666667,0.45553822,26.00863931,"Boone Logan",5525,457429
"Antonio Bastardo","PIT",57.1,0.27389706,0.75841584,0.50714967,0.61073826,0.74934726,0.71052632,0.48141087,25.98209719,"Antonio Bastardo",8844,455374
"Vince Velasquez","HOU",55.2,0.27348643,0.69416499,0.48770492,0.59541985,0.85217391,0.78151261,0.50922131,25.9679219,"Vince Velasquez",11189,592826
"Kyle Kendrick","COL",142.1,0.24350337,0.65823888,0.46111619,0.743083,0.90066225,0.86111111,0.52470265,25.93700787,"Kyle Kendrick",6230,452718
"Miguel Socolovich","STL",29.2,0.27234043,0.62698413,0.45585216,0.65625,0.80379747,0.76126126,0.5174538,25.90857143,"Miguel Socolovich",6697,462515
"Masahiro Tanaka","NYY",154,0.36549957,0.62075134,0.49017038,0.59813084,0.87175793,0.76737968,0.48842289,25.89108911,"Masahiro Tanaka",15764,547888
"Yusmeiro Petit","SFG",76,0.31992337,0.65811966,0.49864499,0.61676647,0.88051948,0.80072464,0.52845528,25.88005215,"Yusmeiro Petit",4020,433589
"Brian Ellington","MIA",25,0.25615764,0.6965812,0.49199085,0.78846154,0.84662577,0.83255814,0.53546911,25.85538462,"Brian Ellington",17233,623395
"Chris Hatcher","LAD",39,0.3030303,0.6656051,0.47981366,0.58,0.80861244,0.73462783,0.48757764,25.84257206,"Chris Hatcher",3299,501822
"Clay Buchholz","BOS",113.1,0.30250991,0.64263323,0.4924154,0.55021834,0.87154472,0.78436019,0.55834306,25.80733163,"Clay Buchholz",3543,453329
"Jeremy Jeffress","MIL",68,0.29904762,0.63238095,0.46571429,0.54140127,0.85240964,0.75255624,0.5,25.80487805,"Jeremy Jeffress",9490,502026
"Mark Lowe","- - -",55,0.30978261,0.63038549,0.48454883,0.50877193,0.78417266,0.70408163,0.54511743,25.75347222,"Mark Lowe",7416,450275
"Josh Fields","HOU",50.2,0.30272953,0.66966292,0.49528302,0.52459016,0.82550336,0.73809524,0.52476415,25.74367089,"Josh Fields",5070,451661
"Scott Carroll","CHW",36.2,0.29354839,0.66077739,0.4688027,0.65934066,0.87165775,0.80215827,0.4772344,25.70714286,"Scott Carroll",888,453222
"Angel Nesbitt","DET",21.2,0.29508197,0.71875,0.512,0.64814815,0.87681159,0.8125,0.512,25.70695971,"Angel Nesbitt",13415,553970
"Fernando Rodriguez Jr.","OAK",58.2,0.33191489,0.69327731,0.51374207,0.63461538,0.7969697,0.74485597,0.50317125,25.68359942,"Fernando Rodriguez Jr.",7558,451775
"Greg Holland","KCR",44.2,0.32608696,0.6,0.45862553,0.45,0.80676329,0.67584098,0.48387097,25.68055556,"Greg Holland",7196,518813
"Drew Storen","WSN",55,0.28639618,0.63023256,0.46054181,0.55,0.81549815,0.73401535,0.50647821,25.65635179,"Drew Storen",6983,519322
"Keone Kela","TEX",60.1,0.34749035,0.64648438,0.4961165,0.46111111,0.86404834,0.7221135,0.49708738,25.64980027,"Keone Kela",14696,605309
