Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,FIP,E-F,xFIP,SIERA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,LD%+,GB%+,FB%+,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,xERA,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C
Clayton Kershaw,LAD,16,7,2.127507116814925,33,33,27,4,3,0,0,0,232.2,890,163,62,55,15,42,1,5,9,3,301,Clayton Kershaw,2036,477132,11.643266221114407,1.6246417982950336,7.16666667,0.5802292136767977,0.33820225,0.04719101,0.29101124,0.1933570581257414,0.8810888059536558,0.2808349146110057,0.78306878,56.9558903207484,52.634068675910406,54.20449875676716,1.9903272993479395,0.1371798174669853,2.0908993229850465,2.234749835329592,0.3380805,0.66949153,0.51137371,0.47252747,0.78902954,0.689197,0.52289513,23.24689312,1.77027027,0.217557251,0.5,0.282442748,0.094594594,0.101351351,115,4.448423971522116,1089,2303,3392,0.40221402,0.3800738,0.21771218,0.19926199,0.54797048,0.25276753,4.978271961212158,-11.319583892822266,16.297855377197266,46.05229949951172,5.209179401397705,0.9578772187232972,0.9469832181930542,0.8788787722587585,1.137317180633545,29,5.665492534637451,-0.4683003852642482,0,0,8.145161628723145,0.997643768787384,-1.4051748514175415,-0.4075311124324798,70.77029418945312,8.552693367004395,68.42154693603516,147.6657543555072,55.11246291044998,267.9352967947651,59.44189453457484,163.4261958549163,60.99464796578113,77.03570375672429,67.83453614958883,93.90792077329468,107.22532331732342,103.16429888135336,108.07275082804036,86.51562301679215,542,85.6064187135214,102.4,113.3,8.861867704280156,18,0.03321033,133,0.24538745,2.1289464987595634,0.53530281,,,,,0.00118168,0.27858198,0.1816839,,,0.00324963,,,,93.57709885485652,,,,,93.5250015258789,88.03849085365853,73.50179115853659,,,87.69999556107955,,,0.9149531012865618,,,,,5.932499885559082,-2.1861581327047985,-1.0630178560086383,,,6.177272449840199,,,11.102120843681016,,,,,11.392499923706056,3.4259490157741253,-10.171965510670733,,,9.189091075550426,,,24.981563568115234,,,,,0.0758759677410125,17.905990600585938,17.450725555419922,,,-0.730642557144165,,,1.3786734860990748,,,,,1.8968991935253143,1.8988325133177029,2.837516350474784,,,-6.642205064946954,,
Dallas Keuchel,HOU,20,8,2.4827584573970363,33,33,27,3,2,0,0,0,232.0,911,185,68,64,17,51,0,2,9,0,216,Dallas Keuchel,9434,572971,8.379309793714997,1.9784481457382632,4.23529412,0.6594827152460877,0.23710209,0.05598244,0.18111965,0.2156177156177156,1.01724131240573,0.2688,0.79365079,64.00249200177085,72.15060267517428,67.85859605008834,2.909455833707212,-0.4266973763101758,2.751952633191061,2.8390805172046254,0.30729702,0.61038961,0.44119334,0.57190635,0.8893617,0.76592978,0.44176707,21.24212206,3.144,0.186813186,0.616954474,0.196232339,0.12,0.136,150,5.818965134524304,1289,2203,3492,0.35981308,0.38317757,0.25700935,0.25233645,0.53426791,0.21339564,3.777748107910156,-12.256799697875977,16.034547805786133,36.42919921875,4.050853729248047,0.9435628652572632,0.8681445717811584,0.8568848371505737,0.8094733357429504,30,4.4914727210998535,-0.4877669299863489,0,0,7.345383167266846,1.474526047706604,0.1771591901779174,1.6516852378845217,50.929630279541016,5.693697929382324,45.549583435058594,109.63561800896838,68.51044845420833,160.02759347182277,62.24239438697656,118.022086726782,73.75108833162733,86.1065214829219,78.88322494944983,91.6520482079523,108.9375794332038,90.1643031324557,139.11541043538955,56.17486310626818,642,85.7493675595238,103.3,113.6,1.073015873015873,21,0.03271028,180,0.28037383,2.8338521793895737,0.11417097,,0.05306942,,,0.50315548,0.19391853,,,,0.1356856,,,,88.85401617462311,,84.81189294763513,,,89.43072976054732,79.2551775147929,,,,79.03171247357294,,,3.422035102269158,,0.2230270179542335,,,9.39881387186431,-4.271035459620007,,,,10.430528830272198,,,8.178818899183417,,4.230540672508446,,,5.45158499322976,-2.050769151315181,,,,5.666913216008193,,,-5.726761341094971,,2.9452462196350098,,,22.440479278564453,16.2994384765625,,,,7.253510475158691,,,-1.438884759069088,,1.5920249835864917,,,1.2793887844107443,2.411159537953033,,,,1.5335117283633597,,
Jake Arrieta,CHC,22,6,1.7685588341219818,33,33,29,4,3,0,0,0,229.0,870,150,52,45,10,48,2,6,6,0,236,Jake Arrieta,4153,453562,9.27510855228417,1.8864627563967804,4.91666667,0.3930130742493292,0.27126437,0.05517241,0.21609195,0.1838235294117647,0.8646287633485243,0.2456140350877192,0.8,45.02821614215486,60.56101946096921,67.5064228660908,2.347567601501342,-0.57900876737936,2.6111568906600917,2.745919551774185,0.31464738,0.61425339,0.46921506,0.57088123,0.85359116,0.76181592,0.51590312,23.44622793,2.465116279,0.210247349,0.561837455,0.227915194,0.093023255,0.077519379,118,4.637554276142085,1202,2236,3438,0.34310345,0.37758621,0.27931034,0.22758621,0.55172414,0.22068966,5.92972993850708,-9.862086296081545,15.791815757751465,56.13399887084961,6.044351577758789,0.9194897413253784,0.918133020401001,0.8741090893745422,0.8331999778747559,29,5.77858829498291,0.6703471003808277,0,0,9.35384464263916,2.8900015354156494,-0.5697620511054993,2.320239543914795,59.98068618774414,7.033605098724365,56.26884078979492,117.63158851581844,63.99417324050797,183.81607570021148,40.26243622274864,131.08045248972547,71.31065508127567,73.23743489141849,66.56728664241453,82.13046935341018,109.5437086959687,99.69798869745878,121.43863856015066,69.81317503646099,580,85.12455197132617,101.6,111.5,4.353046594982079,13,0.02241379,143,0.24655172,2.358239043175937,0.18033265,,,,,0.33119346,0.2885906,0.15348701,,,0.04639626,,,,94.37750935477348,,,,,94.65189289647576,90.20363846056622,80.65304182509506,,,88.88930449095912,,,-5.262928786787015,,,,,-8.32136563876652,2.885621721751769,5.694828860206749,,,-10.008742230493318,,,8.811666445438917,,,,,6.979533056855727,2.5931447089863497,-9.149486469225286,,,2.1889936339180425,,,2.799100637435913,,,,,22.486160278320312,24.84439468383789,7.58125638961792,,,3.0646982192993164,,,0.4529289057339665,,,,,1.981159495887252,2.5120722632798675,1.4413034961250797,,,1.9274831567920228,,
Max Scherzer,WSN,14,12,2.794460392769203,33,33,23,4,3,0,0,0,228.2,899,176,74,71,27,34,2,5,10,1,276,Max Scherzer,3137,453286,10.862972794426762,1.338192300762717,8.11764706,1.0626821211939224,0.30700779,0.0378198,0.26918799,0.2046511627906976,0.9183672652293156,0.2675044883303411,0.79571106,70.92213964108419,72.32050378446888,74.46528196948503,2.766246843908274,0.0282135488609287,2.8833279751716616,2.6257813440188587,0.33546099,0.70200721,0.54786758,0.54756871,0.78152493,0.7212847,0.57948106,21.98857868,0.7890625,0.187943262,0.358156028,0.453900709,0.12890625,0.10546875,104,4.093294096450664,979,2380,3359,0.375,0.33561644,0.28938356,0.20890411,0.51027397,0.28082192,3.2484402656555176,-13.238871574401855,16.48731231689453,35.84080123901367,3.818710803985596,0.9573731422424316,0.967385470867157,0.8687030076980591,1.1514207124710083,29,3.954099178314209,-0.561022725337081,0,0,6.833667278289795,1.6342511177062988,-1.315803050994873,0.318448007106781,56.15969467163086,6.515219211578369,52.12175369262695,137.7696809271143,45.39528259105016,303.4889545064243,108.86704268388232,148.35239862797314,48.882303584078784,81.53540658423222,70.70458395435996,89.45038166433864,108.9564257035006,89.12152899792109,77.41381434320928,139.0352661024905,584,87.06254200268818,103.5,114.7,17.120071684587813,34,0.05821918,174,0.29794521,2.609091447561525,0.59290188,,0.01640322,,,,0.17864599,0.08082314,,,0.13122577,,,,94.1239939637827,,89.28908913352272,,,,85.96928474540901,79.48302727167896,,,84.82113813920455,,,-8.11697185063506,,-2.5654546564275567,,,,0.4585949829305352,3.2573431373962176,,,-9.048954634232954,,,7.795724051339286,,3.165818093039773,,,,1.3097437379356218,-2.34261983611047,,,1.3307726773348725,,,22.394676208496094,,0.0880362391471862,,,,11.824952125549316,-0.2493637353181839,,,4.783795833587647,,,1.1264927670269664,,0.1600658893585205,,,,1.97411554683628,-0.0920161384937948,,,1.087226325815374,,
Zack Greinke,LAD,19,3,1.6571854773254873,32,32,30,1,0,0,0,0,222.2,843,148,43,41,14,40,1,5,7,0,200,Zack Greinke,1943,425844,8.083831596709693,1.6167663193419388,5.0,0.5658682117696786,0.23724792,0.04744958,0.18979834,0.1854636591478696,0.8443113001007903,0.2294520547945205,0.8650519,44.36482188082775,72.71641236791207,83.13820927622837,2.760839293040609,-1.1036538157151217,3.222538756119216,3.2727962215959527,0.3007034,0.67015707,0.47526283,0.54385965,0.8515625,0.74886142,0.4724799,23.78351836,1.455958549,0.191126279,0.479522184,0.329351535,0.093264248,0.07253886,101,4.082334956338396,1161,2078,3239,0.38628763,0.36120401,0.25250836,0.2173913,0.51505017,0.26755853,6.758110046386719,-10.824569702148438,17.582679748535156,56.23830032348633,6.235803604125977,1.0608400106430054,1.0322890281677246,0.8714874982833862,1.2154903411865234,31,5.468085289001465,0.902441820256448,0,0,9.614790916442873,3.989078044891357,0.3073495626449585,4.2964277267456055,46.86886978149414,5.318363189697266,42.546905517578125,102.52321540551088,54.84530430222016,186.93160243234132,57.97067395372126,114.64301623577416,61.32885502713136,73.89088167892085,65.00305646966295,76.72609159996905,118.45124208640672,90.63089591455136,103.64656301589945,100.88435070055976,598,87.25589026801406,102.8,113.9,9.799648506151142,24,0.04013378,166,0.27759197,2.644962334695772,0.43692022,,,,,0.09894867,0.19140383,0.08967223,,0.00123686,0.18181818,,,,91.78874734607218,,,,,91.22062377929689,86.84135828957997,73.74896282327586,,62.79999923706055,88.08571162840136,,,-1.659583824033528,,,,,-6.431309509277344,3.415289119295234,6.238548120959051,,4.400000095367432,-6.746166826105442,,,9.484981118409411,,,,,5.527259445190429,1.248503997753433,-8.13909280711207,,-7.735000133514404,1.320756769504677,,,21.23793601989746,,,,,1.692267656326294,18.360929489135746,-0.6573176383972168,,0.122391290962696,19.15494537353516,,,1.503038642597131,,,,,0.5288336426019669,2.966224473204482,-0.2266612546197299,,3.059782274067402,3.25764377100938,,
Corey Kluber,CLE,9,16,3.4864862468488367,32,32,19,4,0,0,0,0,222.0,886,189,92,86,22,45,3,11,6,1,245,Corey Kluber,2429,446372,9.93243174974378,1.824324198932531,5.44444444,0.8918918305892374,0.2765237,0.05079007,0.22573364,0.2277108433734939,1.0540539816054624,0.2966252220248668,0.71428571,84.92509956046956,73.15411337278394,75.18231871656307,2.9714315989837754,0.5150546478650613,3.0458152800251472,2.982509305161178,0.33625928,0.65019652,0.50766401,0.50803213,0.8462867,0.74456522,0.54598406,24.76290878,1.180487804,0.217162872,0.423817863,0.359019264,0.07804878,0.107317073,82,3.324324095832612,1041,2232,3273,0.38803419,0.33162393,0.28034188,0.17777778,0.55213675,0.27008547,1.503674030303955,-13.533364295959473,15.037034034729004,20.206199645996094,2.07588267326355,0.9073713421821594,0.8812035322189331,0.8666625022888184,1.1098142862319946,28,2.996182441711426,-1.3390064208248362,0,0,4.476264476776123,-0.1004185304045677,-0.9942237138748168,-1.0946422815322876,49.735801696777344,5.570906639099121,44.56725311279297,129.9568007417314,63.17338630479672,205.7144835980127,84.17731319818262,137.6449487546886,66.91067744330151,90.93588887472212,81.73790852360055,101.13954296397934,98.04382153106182,104.81240344631068,95.5655537738992,102.77540445417182,585,87.93428063943162,103.0,112.9,11.506216696269982,33,0.05641026,189,0.32307692,3.2940755518121256,0.21367259,,,,,0.31514408,0.26824034,0.154813,,,0.04812998,,,,92.55107828192251,,,,,92.8298653331712,88.32708928571428,82.68138923267327,,,84.96560260748407,,,-2.646499261623476,,,,,-7.339659457076848,3.1328800223214284,10.259702776918315,,,-6.667770482931926,,,8.86406025824964,,,,,6.3510993927833175,2.843817243303572,-1.4206138082069926,,,3.475031955986266,,,2.957705020904541,,,,,-8.902426719665527,16.585912704467773,15.732086181640623,,,1.3102681636810305,,,0.4243479226548839,,,,,-0.8659948170880863,1.8955328805106024,3.115264590423886,,,0.8345657093509746,,
David Price,- - -,18,5,2.450831959465271,32,32,24,3,1,0,0,0,220.1,888,190,70,60,17,47,2,3,4,0,225,David Price,3184,456034,9.190619847994766,1.919818368247796,4.78723404,0.6944023885151601,0.25337838,0.05292793,0.20045045,0.2267303102625298,1.075642915543091,0.2902684563758389,0.78630897,60.12612420656042,67.45068291866575,79.99104933295745,2.7750461114856364,-0.3242141520203652,3.238764463275139,3.267244442321193,0.30288124,0.65626598,0.50740083,0.60788863,0.81761496,0.76487748,0.57874482,26.63963211,1.109589041,0.231281198,0.404326123,0.364392678,0.109589041,0.07762557,137,5.596066307445702,1066,2322,3388,0.33278956,0.36704731,0.30016313,0.16965742,0.54812398,0.2822186,3.69769811630249,-12.695616006851196,16.393313884735107,36.41860008239746,3.796465039253235,0.9836662589108266,0.9276528052524128,0.8547062445431948,1.2400275941552787,29,3.4121615886688232,0.3469366652418069,0,0,7.164914846420288,0.2278329506516456,0.2385965809226036,0.4664295241236686,58.25306701660156,6.698485374450684,53.58788299560547,120.25086931099912,66.48019441025231,180.8822532669109,65.53813516263423,126.12392211990613,69.72708804544733,90.5443148561306,83.41204887894384,98.97209284600554,107.9298312485542,111.6265316467294,91.17041343440644,104.3136361748956,613,87.41133936125212,103.9,114.7,12.683587140439933,28,0.045677,189,0.30831974,3.1858378851766096,0.34991119,,0.13173475,,,0.21166371,,,0.08081705,,0.2258733,,,,93.9285936178088,,89.07033883426966,,,94.11314466783216,,,79.58900848500458,,85.18532417267366,,,6.540338351641815,,0.2180449410770716,,,9.571132334462412,,,-5.557692531264308,,10.44879382372215,,,10.094848013166244,,5.051775368679776,,,8.276727252239947,,,-0.6447618924654447,,5.863945037321838,,,7.957267999649048,,1.483377456665039,,,10.625118017196655,,,1.833776593208313,,12.42728042602539,,,0.6732037224745387,,0.3333432486887728,,,1.486030491915616,,,0.6717130378052428,,1.6287392432536554,,
Madison Bumgarner,SFG,18,9,2.926717829973557,32,32,22,4,2,0,0,0,218.1,869,181,73,71,21,39,2,7,1,0,234,Madison Bumgarner,5524,518516,9.645802425546654,1.607633737591109,6.0,0.8656489356259818,0.26927503,0.04487917,0.22439586,0.2199270959902794,1.007633681681037,0.2816901408450704,0.77935223,78.23948104785748,78.29025402056897,77.81802724867124,2.872525023382641,0.0541928065909163,3.014458711570977,2.999883379866624,0.33544705,0.66810611,0.50406504,0.52741021,0.85410896,0.74689826,0.5068793,24.10134257,1.169902912,0.226643598,0.416955017,0.356401384,0.121359223,0.101941747,112,4.616794323338569,1102,2210,3312,0.42444822,0.34295416,0.23259762,0.19185059,0.52971138,0.27843803,2.640929937362671,-12.10104751586914,14.74197769165039,24.8489990234375,2.8058576583862305,0.917737364768982,0.8860746622085571,0.8731062412261963,0.978771448135376,28,2.774569034576416,0.1030842448315341,0,0,5.318127632141113,0.9641083478927612,-0.5381242036819458,0.4259841740131378,43.47038269042969,4.892143726348877,39.137149810791016,122.33291453471536,54.535501197592765,224.31792291880964,88.68187178887679,130.11916347429258,58.00658172254656,87.62151627155077,77.5771556098181,94.19389845360924,106.71641652062344,107.47298826467198,90.12295131748463,109.1700459620474,589,87.5417439703154,102.9,112.7,12.504638218923931,28,0.0475382,177,0.30050934,3.153519729723139,0.48780488,,0.31175735,,,0.00531582,0.00594121,0.16885553,,,0.0203252,,,,92.05320512820512,,86.22818455366098,,,91.93529555376838,86.01579204358552,76.425,,,84.92461688701923,,,4.836115284455128,,-0.8234603713484202,,,8.18294121237362,-0.9657894937615644,-5.414888961226852,,,8.72030780498798,,,8.720281825921475,,2.812156440023194,,,7.9947060977711395,2.7847368340743217,-5.471074309172454,,,5.17015380859375,,,17.111589431762695,,16.720643997192383,,,-0.0211076736450195,0.893497884273529,1.4627102613449097,,,-0.3763611912727356,,,1.0968967584463265,,1.677095686779577,,,-0.1241627861471737,4.702620443544889,0.2708722706194277,,,-0.5790172173426702,,
John Lackey,STL,13,10,2.76605504587156,33,33,26,1,0,0,0,0,218.0,896,211,71,67,21,53,5,4,5,3,175,John Lackey,1507,407793,7.224770642201835,2.188073394495413,3.30188679,0.8669724770642202,0.1953125,0.05915179,0.13616072,0.2514898688915375,1.211009174311927,0.2954898911353033,0.82564962,72.57454666482984,92.97837355448812,97.0809459127478,3.5647864105504588,-0.7987313646788992,3.767859432258464,3.898498114812944,0.29121726,0.65133038,0.50064475,0.5978836,0.88,0.8113329,0.58156028,22.96821741,1.381395348,0.20620155,0.460465116,0.333333333,0.116279069,0.097674418,98,4.045871559633028,988,2139,3127,0.36295181,0.36144578,0.27560241,0.17620482,0.52259036,0.30120482,3.225104331970215,-13.195453643798828,16.42055892944336,28.190900802612305,3.2367968559265137,0.9958550930023192,0.9047497510910034,0.8764121532440186,0.974399983882904,32,1.4100282192230225,1.828499508990045,0,0,5.911400318145752,0.2672331631183624,2.1366937160491943,2.4039268493652344,32.17435073852539,3.5074737071990967,28.059789657592773,91.62817259916136,74.22566249743365,123.44539781574863,88.81746270489664,94.37896749962556,76.45401584260554,100.19649256944672,93.23492144861844,98.80837403881716,113.05590209663086,97.77949590840493,99.5274634929454,102.10402349136908,664,88.27958657296651,102.9,112.8,11.62200956937799,37,0.05572289,215,0.32379518,3.579507381623986,0.35880077,,0.2063185,,,0.31237911,,0.09574468,,,0.02675693,,,,91.5947888589398,,83.27718505859374,,,91.60444078947368,,78.09865582912458,,,83.71204936935241,,,-3.947970627667341,,2.130013656616211,,,-8.62211566369969,,3.725329055529251,,,-9.479638524802334,,,8.09932070558176,,-0.1569120049476623,,,5.104375786087461,,-3.898306798453283,,,4.354457993105234,,,7.134486198425293,,-2.5425732135772705,,,15.196349143981934,,1.0795583724975586,,,0.0711679905652999,,,0.6410140340004755,,-0.3972770646214485,,,1.5682506856534502,,0.3634876675075955,,,0.0857445669461445,,
R.A. Dickey,TOR,11,11,3.9051320075036218,33,33,20,2,0,0,0,0,214.1,884,195,97,93,25,61,1,11,9,2,126,R.A. Dickey,1245,285079,5.290824010166197,2.561430671588397,2.06557377,1.0497666686837692,0.14253394,0.06900452,0.07352941,0.2401477832512315,1.1944011874802,0.2571860816944024,0.73275862,96.25511471022898,110.0180877582816,116.76742844953748,4.48196071555382,-0.5768287080501979,4.714408012373924,4.761166205022765,0.27084723,0.67954545,0.49156183,0.73399015,0.84364548,0.81585518,0.54004296,19.27865961,1.125984251,0.208211143,0.419354838,0.372434017,0.137795275,0.098425196,109,4.576982675461235,1119,2145,3264,0.41982507,0.34693878,0.23323615,0.19825073,0.56268222,0.23906706,0.2936041057109833,-13.16835594177246,13.461959838867188,6.716700077056885,0.6246287822723389,0.8853241801261902,0.8417812585830688,0.8765696883201599,0.9933741688728333,31,0.9949532151222228,-0.663318642948746,0,0,3.1172263622283936,1.9904704093933103,-0.6833638548851013,1.307106614112854,17.56637191772461,1.81011974811554,14.480957984924316,69.22560144110466,88.69818719934278,78.04624435050076,99.0776399380474,70.94898619766079,90.9063468550368,95.90255697848264,92.62130470209546,87.69208020040823,100.5794375507098,100.49190324823796,94.55919823094806,106.61560692650438,686,87.43925925925926,103.1,110.9,12.352592592592591,30,0.04373178,209,0.30466472,4.1121265375980025,0.11046333,,,,,,,,,0.02393372,,,0.86560295,,81.70388997395834,,,,,,,,,64.41153971354167,,,76.2262661733428,-7.781416829427084,,,,,,,,,0.3055128439878806,,,-0.5751152160276719,5.472444322374132,,,,,,,,,0.8973077627328726,,,1.7915774686503012,-3.731576919555664,,,,,,,,,-1.1237376928329468,,,11.920722007751465,-1.0365491443210175,,,,,,,,,-1.440689349785829,,,0.4225707907745999
