Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Jimmy Yacabonis","BAL",3.4838710749186568,6.096774381107649,0.57142857,0.8709677687296642,0.08888889,0.15555556,-0.06666667,0.23684210526315788,1.548387144408292,0.24242424242424243,0.75342466,97.78613241537707,123.79104234583494,151.66030610307357,4.354838843648321,5.673768803877342,-1.3189299602290214,6.653557403692668,6.673345683246524,"Jimmy Yacabonis",15157,642231
"Julio Urías","LAD",4.242857720900634,5.400000735691716,0.78571429,0.385714338263694,0.10784314,0.1372549,-0.02941176,0.26436781609195403,1.585714501750742,0.29333333333333333,0.6284153,130.2630755116721,110.67337239044141,136.24682282473717,5.400000735691716,4.700497047268644,0.6995036884230723,5.896749133516645,6.514087202637487,"Julio Urias",14765,628711
"Jarred Cosart","SDP",5.624998672865645,7.12499831896315,0.78947368,0,0.13157895,0.16666667,-0.03508772,0.27956989247311825,1.8749995576218814,0.3333333333333333,0.68085106,115.78524514655781,105.722329163772,142.38574054855889,4.874998849816892,4.532639369803246,0.3423594800136458,6.163211425817721,6.4839618408615225,"Jarred Cosart",10304,543054
"Chase De Jong","SEA",4.129411394059898,4.129411394059898,1,1.588235151561499,0.104,0.104,0,0.2767857142857143,1.5529410370823546,0.2765957446808511,0.64864865,151.05914549166843,137.247478129327,149.6865562157913,6.352940606245996,5.9105806235871325,0.44235998265886334,6.567188660592004,6.326502088735432,"Chase De Jong",15036,608328
"Tyson Ross","TEX",6.61224390059315,6.795917342276293,0.97297297,1.2857140917820014,0.1512605,0.15546218,-0.00420168,0.2717948717948718,1.8367344168314306,0.3026315789473684,0.5800464,161.50747112523575,135.23430996606004,143.15146857492132,7.714284550692008,6.178047401892219,1.5362371487997883,6.281221674991912,6.1680589377142985,"Tyson Ross",7872,475115
"Chris Flexen","NYM",6.749999731779109,6.56249973922969,1.02857143,2.0624999180436165,0.15450644,0.15021459,0.00429185,0.3163265306122449,2.0208332530326345,0.3422818791946309,0.65789474,192.64409062883456,163.6018492435913,142.2331687760925,7.874999687075627,6.949306210213244,0.9256934768623832,6.1565889841984,6.08435787648324,"Chris Flexen",13896,623167
"David Holmberg","CHW",5.15028924447161,5.306358615516205,0.97058824,1.872832452535131,0.12132353,0.125,-0.00367647,0.27155172413793105,1.6820809990361825,0.2727272727272727,0.76566125,109.32487137867022,152.72407076211354,148.85767376759838,4.682081131337828,6.7992583519210665,-2.1171772205832387,6.530917836365536,6.016664107084097,"David Holmberg",7725,571787
"Eddie Butler","CHC",4.939024103035339,4.60975582949965,1.07142857,0.6585365470713785,0.12658228,0.11814346,0.00843882,0.24154589371980675,1.4268291853213202,0.2658959537572254,0.75268817,91.39347023630832,107.57545530750971,129.26476835627054,3.9512192824282715,4.657639606987564,-0.7064203245592924,5.593690138049217,5.9162663621011005,"Eddie Butler",13453,572750
"Michael Ynoa","CHW",7.13793572914895,6.827590697446821,1.04545455,1.241380126808513,0.16312057,0.15602837,0.0070922,0.24561403508771928,1.7241390650118236,0.27586206896551724,0.66801619,137.68240334162047,138.2758250624366,156.82145877809637,5.896555602340436,6.15764166733444,-0.26108606499400366,6.879402771621295,5.839043421934416,"Michael Ynoa",14093,573589
"Raúl Alcántara","OAK",4.5,4.5,1,1.875,0.11111111,0.11111111,0,0.23655913978494625,1.4166666666666667,0.2236842105263158,0.53333333,168.6476561325867,157.48318475660002,135.80340357799346,7.125,6.7409730275472,0.3840269724527996,5.959679851432641,5.820333395213122,"Raul Alcantara",12790,593417
"Hisashi Iwakuma","SEA",4.645161290322581,3.4838709677419355,1.33333333,2.032258064516129,0.125,0.09375,0.03125,0.23684210526315788,1.2580645161290323,0.21978021978021978,0.80128205,103.54861709098091,149.01080190847807,134.21597364960277,4.354838709677419,6.4157042103429,-2.0608655006654812,5.890215970239332,5.773462987899779,"Hisashi Iwakuma",13048,547874
"Chris Tillman","BAL",6.096775756542595,4.935485136248767,1.23529412,2.322581240587655,0.14189189,0.11486486,0.02702703,0.3213367609254499,1.892473603441793,0.3344370860927152,0.6420765,176.0150780567477,151.3226500889496,133.8049284325417,7.838711686983336,6.931834210168807,0.9068774768145289,5.872229163003088,5.756035657272016,"Chris Tillman",5279,501957
"Odrisamer Despaigne","MIA",4.782856152406236,3.702856376056441,1.29166667,0.4628570470070551,0.12204724,0.09448819,0.02755906,0.2511013215859031,1.3885711410211652,0.27979274611398963,0.6641604,96.9809133965791,98.8362584731985,133.33568801231425,4.011427740727811,4.151925202599394,-0.14049746187158263,5.770390108976279,5.723396658427356,"Odrisamer Despaigne",16017,628333
"Chris Smith","OAK",5.011976620334536,3.5568866337858,1.40909091,2.586826642753309,0.124,0.088,0.036,0.2643171806167401,1.4730540604567455,0.24444444444444444,0.62706271,160.72819741324824,164.01643608842963,135.98383434894666,6.790419937227436,7.019915584435822,-0.22949564720838556,5.9675752686809584,5.702785854357056,"Chris Smith",4544,434672
"Braden Shipley","ARI",6.48,5.4,1.2,1.8,0.14754098,0.12295082,0.02459016,0.29245283018867924,1.84,0.3132530120481928,0.725,126.21805064351491,142.3205841776113,143.2130413842986,5.76,6.237639694213867,-0.47763969421386765,6.199120764732362,5.648284735075251,"Braden Shipley",15158,640463
"Dylan Covey","CHW",5.271428427793546,4.371428452316599,1.20588235,2.571428501362705,0.13268608,0.11003236,0.02265372,0.3029197080291971,1.6714285258857584,0.29577464788732394,0.64444444,180.12572761031936,161.75935735186553,126.3164735791504,7.7142855040881155,7.200496726911898,0.5137887771762175,5.544544060842531,5.641836313419192,"Dylan Covey",14825,592229
"Aaron Sanchez","TOR",6,5,1.2,1.5,0.14371257,0.11976048,0.0239521,0.2876712328767123,1.7222222222222223,0.3103448275862069,0.71428571,97.382568940233,129.1203694827227,120.81259324700588,4.25,5.7409730275472,-1.4909730275472004,5.303701373769178,5.619009428755952,"Aaron Sanchez",11490,592717
"Tyler Glasnow","PIT",8.129032258064516,6.387096774193548,1.27272727,1.8870967741935485,0.18360656,0.1442623,0.03934426,0.3127413127413127,2.0161290322580645,0.35789473684210527,0.60661765,180.58261691075467,145.84984807575924,130.39400377033513,7.693548387096774,6.302800984536448,1.3907474025603257,5.642705073664265,5.618205512633239,"Tyler Glasnow",14374,607192
"Carson Fulmer","CHW",7.328571827946899,5.014285987542615,1.46153846,1.5428572269361893,0.18811881,0.12871287,0.05940594,0.18604651162790697,1.2428572105874858,0.19047619047619047,0.82677165,90.06287116721494,127.65991916302357,141.34296425467403,3.857143067340473,5.68621126058151,-1.8290681932410373,6.2020838642498655,5.586584814907043,"Carson Fulmer",18311,608334
