Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Andrew Heaney","LAA",0.2830188679245283,0.633333333,0.222222222,0.301587301,0.476190476,0.033333333,0.4,14,5.815386321841408,154,261,415,0.41538462,0.33846154,0.24615385,0.12307692,0.36923077,0.50769231,"Andrew Heaney",15423,571760
"César Valdez","- - -",0.34,1.393939393,0.261682242,0.429906542,0.308411214,0,0.212121212,12,3.521739860563664,178,322,500,0.57009346,0.31775701,0.11214953,0.12149533,0.42056075,0.45794393,"Cesar Valdez",9013,491624
"Francisco Rodríguez","DET",0.2972972972972973,0.595238095,0.192771084,0.301204819,0.506024096,0.166666666,0.214285714,10,3.552632559699966,161,272,433,0.44578313,0.31325301,0.24096386,0.24096386,0.31325301,0.44578313,"Francisco Rodriguez",1642,408061
"Ryne Stanek","TBR",0.4166666666666667,0.826086956,0.222222222,0.351851851,0.425925925,0.04347826,0.260869565,7,3.1500009012224868,164,259,423,0.33333333,0.40740741,0.25925926,0.03703704,0.51851852,0.44444444,"Ryne Stanek",15947,592773
"Grant Dayton","LAD",0.2153846153846154,0.567567567,0.134328358,0.313432835,0.552238805,0.135135135,0.135135135,11,4.1830997152999325,164,254,418,0.37142857,0.31428571,0.31428571,0.15714286,0.4,0.44285714,"Grant Dayton",11203,594795
"Drew VerHagen","DET",0.31683168316831684,1.47368421,0.153153153,0.504504504,0.342342342,0.105263157,0.263157894,14,3.6699038640485986,200,332,532,0.45045045,0.33333333,0.21621622,0.14414414,0.41441441,0.44144144,"Drew VerHagen",13424,572403
"Shawn Kelley","WSN",0.2361111111111111,0.44,0.142857142,0.261904761,0.595238095,0.06,0.24,14,4.846154912689263,165,348,513,0.4047619,0.3452381,0.25,0.10714286,0.45238095,0.44047619,"Shawn Kelley",7773,518875
"Daniel Norris","DET",0.34285714285714286,0.992063492,0.220496894,0.388198757,0.391304347,0.055555555,0.095238095,67,5.931146799162968,729,1098,1827,0.41717791,0.35582822,0.22699387,0.16257669,0.4202454,0.41717791,"Daniel Norris",13475,596057
"Ian Kennedy","KCR",0.25707547169811323,0.755760368,0.162637362,0.36043956,0.476923076,0.069124423,0.156682027,69,4.0324671329184065,984,1657,2641,0.38427948,0.3580786,0.25764192,0.11790393,0.4650655,0.41703057,"Ian Kennedy",6986,453178
"Steven Wright","BOS",0.36470588235294116,1.181818181,0.234042553,0.414893617,0.351063829,0.06060606,0.272727272,10,3.75,130,253,383,0.4893617,0.25531915,0.25531915,0.14893617,0.43617021,0.41489362,"Steven Wright",8185,453214
