Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"CC Sabathia","NYY",107.1,6.326200311834162,,6.047621829450623,,,5.149995978801481,0.9599854690361753,,,,4.704633857401626,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",47.2,10.045817461880771,,,,,7.377994660408266,4.4740157808576315,-4.4209513664245605,,,4.607273487909603,,,"Fernando Rodney",494,407845
"Marco Estrada","OAK",23.2,12.918275669642858,,6.61456298828125,,,,,-6.1556292942592075,,,10.21911388578869,,,"Marco Estrada",1118,462136
"Adam Ottavino","NYY",66.1,6.851192971934443,,5.56589247305182,,,5.504557113980622,0.4207518883193322,,,,,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",40.2,8.490604400634766,,,,,3.9047776242519947,-0.5378185521776431,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",60,11.17436538905755,,,9.1884521484375,,,1.6244671729303175,,,,,,,"Sean Doolittle",1581,448281
"Edwin Jackson","- - -",67.2,7.609215680290671,,5.808002026875814,,,6.886436441557003,1.1433524682082439,-3.954441097047594,,,7.547379696007931,,,"Edwin Jackson",1841,429719
"Zack Greinke","- - -",208.2,9.593547766978347,,6.030777454376221,3.053308759416853,,7.118547030021808,0.7271940884943715,-6.376203035053454,,-5.811720950262887,2.5883688828812317,,,"Zack Greinke",1943,425844
"Iván Nova","CHW",187,6.777740478515625,,4.836129190976663,,,4.343460845254314,,-3.277279324001736,,,4.512986149460759,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",178.1,11.129308298836767,,,,,,4.936906992796638,-8.985745878647968,,,11.027467727661133,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",171.2,7.9773517588458995,,3.32318515625,,,5.687178670422031,,-6.931797827743902,,,4.749239202131305,,,"Adam Wainwright",2233,425794
"Héctor Rondón","HOU",60.2,8.857385157462437,,,,,6.070450546048212,-0.09889598445615906,,,,3.1617002265397893,,,"Hector Rondon",2391,444468
"Corey Kluber","CLE",35.2,8.073777597161788,,3.3778193414548023,,,4.794717800397814,,-0.018005778108324322,,,2.7535984332744894,,,"Corey Kluber",2429,446372
"Lance Lynn","TEX",208.1,8.460881260932455,,3.1986622143817205,,,4.313397113347458,,-5.186609297352828,,,3.8560201607498468,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","- - -",103.1,8.076283625872486,,,,,4.836874448336088,2.1121825736587967,-3.466584465720437,,,3.5201779824716075,,,"Jhoulys Chacin",2608,468504
"Rick Porcello","BOS",174.1,9.809583948711063,,,,,5.142965137879789,2.78899581549172,-3.8815760458669355,,,4.5220314178904015,,,"Rick Porcello",2717,519144
"Ross Detwiler","CHW",69.2,8.46739803890967,,3.7356774281647245,,,4.53415663273574,0.6918355334888805,-3.765109215253665,,,3.668850948936061,,,"Ross Detwiler",2859,446321
"Luis Avilán","NYM",32,,,,,,6.431880627648305,,-3.364229385166952,,,3.9420438058035714,,,"Luis Avilan",2882,501593
"Kenley Jansen","LAD",63,,,8.62491538129814,,,10.344984555075355,-1.881863143092902,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","SFG",54,6.688778400421143,,,,,4.5320255750605325,2.7177401137077943,,,,3.646336709299395,,,"Tony Watson",3132,453265
"Max Scherzer","WSN",172.1,8.030967445003728,,4.359909200222693,,,,1.0965228921247818,-3.4094533284505206,,,1.6497041697514028,,,"Max Scherzer",3137,453286
"David Price","BOS",107.1,8.48741340637207,,5.434851604959239,,,6.439148949795082,,,-0.533009612041971,,3.430216141211334,,,"David Price",3184,456034
"Will Harris","HOU",60,7.9241180419921875,,6.556797740546725,,,,,-7.620265711692232,,,,,,"Will Harris",3192,501789
"Francisco Liriano","PIT",70,8.091314199019452,,,,,6.284885118954146,3.618086349132449,,,,4.308313195180085,,,"Francisco Liriano",3201,434538
"T.J. McFarland","ARI",56,4.813694000244141,,,,,0.07172206828468725,-1.4652527733672438,,,,1.7389426064657998,,,"T.J. McFarland",3237,519008
"Zack Britton","NYY",61.1,,,,,,6.05279943862858,-4.06022692483569,,,,,,,"Zack Britton",3240,502154
"Jeff Samardzija","SFG",181.1,8.855528167356928,,6.496320218247319,5.945629352072011,,5.618967744764681,4.16102921038976,,-5.907386573585304,,,,,"Jeff Samardzija",3254,502188
"Joe Smith","HOU",25,0.405682616181426,,,,,-5.392468603971962,4.688982591561392,,,,-5.0660957336425785,,,"Joe Smith",3281,501925
"Aníbal Sánchez","WSN",166,9.921831543572312,,6.8810757021360756,4.692885749901264,,8.597906938457854,2.454870894148543,-1.3696317672729492,,,5.632426961263021,,,"Anibal Sanchez",3284,434671
"Hector Noesí","MIA",27.2,,,,,,7.7858867386347566,5.016423718682651,-2.279255143131118,,,4.741326332092285,,,"Hector Noesi",3292,456051
"Danny Duffy","KCR",130.2,10.02244357184885,,,,,8.118616739908854,0.766354311120112,-8.982830028044871,,,6.5332085176644075,,,"Danny Duffy",3542,518633
"Clay Buchholz","TOR",59,9.301310806823292,,4.528643439797794,,,6.959286404639175,,-6.31911868140811,,,4.220592619243421,,,"Clay Buchholz",3543,453329
"Liam Hendriks","OAK",85,10.955003385345359,,,,,8.456950187683105,3.2581549228077202,-5.144853005042443,,,,,,"Liam Hendriks",3548,521230
"Clayton Richard","TOR",45.1,6.3943072727748325,,,,,1.0780767173582806,-1.4520050533234128,,,,1.8057410900409405,,,"Clayton Richard",3551,453385
"Zach Duke","CIN",23.1,4.923893855168269,,,,,1.7586831206484779,2.5152270309324187,-4.524293615462932,,,,,,"Zach Duke",3840,435043
"Matt Magill","- - -",50.2,9.968883167613637,,12.745671272277832,,,,1.784533994743623,-3.378454452170465,,,9.940862655639648,,,"Matt Magill",3950,543483
"Yusmeiro Petit","OAK",83,10.308077025182039,,9.445396581626037,,,,,2.015998934522087,,,9.195982493222031,,,"Yusmeiro Petit",4020,433589
"Héctor Santiago","- - -",33.2,8.318903064051419,,,,,3.9738407135009766,3.1327110953952957,-2.761670051199017,,,5.64877795496731,,,"Hector Santiago",4026,502327
"Pedro Strop","CHC",41.2,8.716464253880034,,3.365998470421993,4.478279319969383,,7.03144138142214,-1.0257236784304715,,,,,,,"Pedro Strop",4070,467008
"Derek Holland","- - -",84.1,10.45872974395752,,6.482000827789307,,,7.982901341544721,2.7225770119133346,,1.4650338793557787,,6.705974324544271,,,"Derek Holland",4141,502706
"Jake Arrieta","PHI",135.2,8.285211042924361,,,,,5.668016935649671,5.073526244653042,-5.568145647797568,,,0.8392116987525519,,,"Jake Arrieta",4153,453562
"David Hernandez","CIN",42.2,9.469837895146123,,3.21402352755187,,,7.645744243421053,,-1.5657843017578126,,,5.429328282674153,,,"David Hernandez",4259,456696
"Mark Melancon","- - -",67.1,7.37898392147488,,6.280886280293367,6.177412850516183,,,,,-8.411250088510196,,,,,"Mark Melancon",4264,453343
"Matt Albers","MIL",59.2,6.957405838311887,,,,,3.659466788492489,0.26346287999425205,,,,2.348567375769982,,,"Matt Albers",4300,458006
"Justin Wilson","NYM",39,10.956347925275482,,5.242370380246771,,,,-1.2962129827131306,,,,,,,"Justin Wilson",4301,458677
"Tyler Chatwood","CHC",76.2,9.1490265567414,,2.7468173194477576,,,7.695985933262451,,-7.486887056533605,,,5.858921781499335,,,"Tyler Chatwood",4338,543022
"Jeremy Hellickson","WSN",39,8.799960865693933,,7.512875100840693,,,6.685826865575647,,,-8.013612280951605,,5.498071867844154,,,"Jeremy Hellickson",4371,476451
"Jordan Zimmermann","DET",112,8.998623381522586,,,,,4.957301172716864,4.523432111497241,-2.659505320119334,,,3.876049335186298,,,"Jordan Zimmermann",4505,519455
"Charlie Morton","TBR",194.2,7.266000079293536,,1.1494561524930715,2.029662188361673,,3.2643890634749377,,-5.3296981655290105,,,,,,"Charlie Morton",4676,450203
