Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"CC Sabathia","NYY",107.1,88.7636385830966,,88.33554043520252,,,89.14879032873338,79.24195551963602,,,,82.67441128554502,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",47.2,94.37272505326705,,,,,93.5531027062655,86.25714111328125,80.5999984741211,,,82.98137809969636,,,"Fernando Rodney",494,407845
"Marco Estrada","OAK",23.2,87.34342633928571,,83.77179737580128,,,,,75.35714285714286,,,75.7009533110119,,,"Marco Estrada",1118,462136
"Adam Ottavino","NYY",66.1,93.73913043478261,,88.19873664952532,,,93.87685930676857,81.83031189671814,,,,,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",40.2,91.47499593098958,,,,,91.77234042553191,78.49657442562305,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",60,93.45564941921859,,,83.71077223557693,,,80.93548387096774,,,,,,,"Sean Doolittle",1581,448281
"Edwin Jackson","- - -",67.2,93.47548939823325,,91.57333170572916,,,93.69945171752262,85.70876014916918,77.93055682712131,,,86.97171667850378,,,"Edwin Jackson",1841,429719
"Zack Greinke","- - -",208.2,89.87803272637795,,89.3499984741211,80.0857173374721,,90.41656232026457,83.69278400551102,70.59013286389802,,63.46428680419922,87.35909148185483,,,"Zack Greinke",1943,425844
"Iván Nova","CHW",187,92.45814098011364,,86.70537284207161,,,92.30354507266122,,79.8670634920635,,,86.1912681912682,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",178.1,90.29628592972207,,,,,,86.89562933677233,73.50992723108747,,,85.1624984741211,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",171.2,89.6013248181217,,84.8638375,,,89.98354792560801,,74.876875,,,83.91403680098684,,,"Adam Wainwright",2233,425794
"Héctor Rondón","HOU",60.2,96.69570929740406,,,,,96.55886386303192,86.80463991026947,,,,90.57906749636628,,,"Hector Rondon",2391,444468
"Corey Kluber","CLE",35.2,92.0088632318038,,88.07853328036722,,,91.34539757476993,,82.85428292410714,,,84.92115196814903,,,"Corey Kluber",2429,446372
"Lance Lynn","TEX",208.1,94.62535320236813,,89.01773913530467,,,92.83287870762712,,81.19724770642202,,,86.88235294117646,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","- - -",103.1,90.00996040253051,,,,,89.8813410632544,79.82458223841498,77.03636585582386,,,82.7750006781684,,,"Jhoulys Chacin",2608,468504
"Rick Porcello","BOS",174.1,91.0233116272825,,,,,89.54967181307794,84.3081683870236,74.86155913978494,,,80.81490083273638,,,"Rick Porcello",2717,519144
"Ross Detwiler","CHW",69.2,91.64111522401359,,88.62372964115467,,,90.70523804243996,83.80000166459517,78.13024450231481,,,84.92158074629934,,,"Ross Detwiler",2859,446321
