Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Adam Ottavino","BOS",62,-3.747934293346245,,1.2995759060508327,-7.996492862701416,,-9.400763423859127,9.974908759124087,9.340279579162598,,,-9.481307983398438,,,"Adam Ottavino",1247,493603
"Sean Doolittle","- - -",49.2,2.5699895764073584,,,4.180349790132963,,,-0.792034927679568,-3.6645252032157702,,,,,,"Sean Doolittle",1581,448281
"Matt Moore","PHI",73,7.673460597940532,,2.2593213131553247,,,,,,-2.860944668451945,,9.890088744614841,,,"Matt Moore",1890,519043
"Zack Greinke","HOU",171,-1.1235346430165756,,3.4329390092329546,,,-7.848886589075895,3.9813168759191284,6.147148891647845,2.536876996358236,1.5934371948242188,-7.53050045556469,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",121.2,0.21652276831937123,,,,,,-2.1669930411385487,-2.405215085207761,,,7.6976186578924,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",206.1,-1.2330927513913565,,3.140280114599021,,,-7.663234175840093,,9.155008559061294,8.252643931995738,,-8.154161032652244,,,"Adam Wainwright",2233,425794
"Corey Kluber","NYY",80,-3.6862918040791497,,1.4191938127790178,,,-9.556723458426339,,8.969319661458334,,,-8.36936618970788,,,"Corey Kluber",2429,446372
"Lance Lynn","CHW",157,-4.289349751829414,,0.5235599645964552,,,-8.036742430172845,0.5023839473724365,2.906131022685283,,,-8.24199948992048,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","COL",64.1,-2.9252921676635744,,,,,-7.482055708290874,1.793077675652165,6.746016255696615,,,-3.7447102207403917,,,"Jhoulys Chacin",2608,468504
"Ross Detwiler","- - -",52.1,6.544449055313668,,0.5368714230505334,,,10.147571613262226,,-2.8253230550395907,,,8.05520512507512,,,"Ross Detwiler",2859,446321
"Kenley Jansen","LAD",69,,,3.6156229040391494,,,-4.228465386676444,2.8994070342092804,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","- - -",57.1,9.280741748721919,,,,,11.63958057604338,-0.8275959069648998,,,,12.34164301554362,,,"Tony Watson",3132,453265
"Max Scherzer","- - -",179.1,-7.019336569699639,,-1.4757515647194601,,,,0.5811631751782966,6.822592251542686,,,-9.472081732920644,,,"Max Scherzer",3137,453286
"David Price","LAD",73.2,5.910718140778719,,1.1173663419835709,,,9.214361181400092,,,-4.068733878757643,,9.084181756488347,,,"David Price",3184,456034
"Ervin Santana","KCR",65.1,-2.984367959932395,,,,,-7.28763484954834,2.0088691158571104,,,,-4.880932726178851,,,"Ervin Santana",3200,429722
"T.J. McFarland","STL",38.2,,,-0.511130690574646,,,10.27259587562322,-2.56180663335891,,,,9.28452107057733,,,"T.J. McFarland",3237,519008
"Joe Smith","- - -",39.2,-10.175574364600244,,,,,-9.658090079340953,7.5756075014626925,6.336732864379883,,,-9.529727390834264,,,"Joe Smith",3281,501925
"Danny Duffy","KCR",61,3.269386812492653,,,,,7.245757346929506,-3.2832991143931514,-4.032280865065548,,,8.960384910337387,,,"Danny Duffy",3542,518633
"Liam Hendriks","CHW",71,-4.364437790017247,,,,,,0.4133180983523105,0.9324345098477658,,,-7.556590557098389,,,"Liam Hendriks",3548,521230
"Yusmeiro Petit","OAK",78,-3.233179204150884,,-0.975936460686496,,,,,5.308189755394345,,,-7.0407190772251305,,,"Yusmeiro Petit",4020,433589
