Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",4.732856273651123,0.2959270775318146,-1.4626678228378296,-1.1667407751083374,55.25218200683594,5.89959716796875,47.19677734375,"Zack Wheeler",10310,554430
"Spencer Strider","ATL",3.59047794342041,-0.5507746934890747,-1.342638373374939,-1.8934130668640137,51.74710464477539,5.483891010284424,43.87112808227539,"Spencer Strider",27498,675911
"Sonny Gray","MIN",6.2127227783203125,-0.10115843266248703,0.9247313737869263,0.8235729336738586,50.15670394897461,5.389150142669678,43.11320114135742,"Sonny Gray",12768,543243
"Gerrit Cole","NYY",7.1065993309021,1.4443784952163696,0.35686948895454407,1.8012479543685913,49.91386413574219,5.305351734161377,42.442813873291016,"Gerrit Cole",13125,543037
"Kevin Gausman","TOR",4.603048801422119,-1.0996495485305786,0.43408769369125366,-0.6655619144439697,49.08061981201172,5.268610954284668,42.148887634277344,"Kevin Gausman",14107,592332
"Zac Gallen","ARI",5.329916000366211,-0.08781349658966064,0.26217788457870483,0.174364373087883,49.49000930786133,5.155551433563232,41.24441146850586,"Zac Gallen",19291,668678
"Logan Webb","SFG",5.417255878448486,-0.14771081507205963,0.6293034553527832,0.4815926253795624,47.6146240234375,4.935663223266602,39.48530578613281,"Logan Webb",17995,657277
"Zach Eflin","TBR",4.401216983795166,-0.1096733883023262,-0.37746044993400574,-0.48713383078575134,45.83245086669922,4.888350963592529,39.106807708740234,"Zach Eflin",13774,621107
"Justin Steele","CHC",4.167952537536621,-0.7493668794631958,0.0936451181769371,-0.6557217836380005,45.833351135253906,4.823674201965332,38.589393615722656,"Justin Steele",17312,657006
"Pablo López","MIN",4.419908046722412,-0.8313408493995667,0.6605187654495239,-0.1708221286535263,43.61520767211914,4.5907301902771,36.7258415222168,"Pablo Lopez",17085,641154
"Framber Valdez","HOU",4.465641498565674,0.48656660318374634,-0.45184609293937683,0.03472050651907921,42.242427825927734,4.4309210777282715,35.44736862182617,"Framber Valdez",17295,664285
"George Kirby","SEA",4.396273136138916,0.0336017981171608,0.13174968957901,0.1653514802455902,40.432430267333984,4.230921745300293,33.847373962402344,"George Kirby",25436,669923
