Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"A.J. Minter","ATL",5,4,2.6213596116385762,39,0,0,0,0,1,9,3,34.1,134,24,10,10,6,11,1,1,0,0,35,"A.J. Minter",18655,621345
"A.J. Puk","- - -",4,9,3.154206169735591,62,4,0,0,0,3,14,3,71.1,294,51,31,25,5,28,2,2,2,1,88,"A.J. Puk",19343,640462
"Aaron Bummer","ATL",4,3,3.5783140753123446,56,0,0,0,0,0,2,3,55.1,244,61,24,22,2,18,2,2,2,0,69,"Aaron Bummer",16258,607481
"Aaron Civale","- - -",8,9,4.360248653826442,31,31,8,0,0,0,0,0,161,689,158,82,78,29,52,0,6,1,0,149,"Aaron Civale",19479,650644
"Aaron Nola","PHI",14,8,3.5668897231211,33,33,20,1,1,0,0,0,199.1,820,189,84,79,30,50,0,3,2,0,197,"Aaron Nola",16149,605400
"Adam Mazur","SDP",1,3,7.485149080268866,8,8,1,0,0,0,0,0,33.2,158,40,28,28,6,21,0,2,0,0,22,"Adam Mazur",31900,800049
"Adam Oller","MIA",2,4,5.314960789566665,8,8,1,0,0,0,0,0,42.1,189,43,25,25,7,22,0,2,1,0,36,"Adam Oller",20132,670124
"Adam Ottavino","NYM",2,2,4.339286601057039,60,0,0,0,0,1,15,2,56,245,49,29,27,6,23,1,7,5,0,70,"Adam Ottavino",1247,493603
"Adrian Houser","NYM",1,5,5.841346582364785,23,7,0,0,0,1,1,0,69.1,309,74,48,45,8,32,0,4,2,0,45,"Adrian Houser",12718,605288
"Adrian Morejon","SDP",3,2,2.8272259214144184,60,0,0,0,0,2,12,2,63.2,272,63,24,20,4,21,2,1,7,1,71,"Adrian Morejon",20039,670970
"Albert Suárez","BAL",9,7,3.7032421770922257,32,24,7,0,0,0,1,1,133.2,565,130,56,55,17,43,1,3,2,1,108,"Albert Suarez",6175,544150
"Alec Marsh","KCR",9,9,4.534883989135031,26,25,5,0,0,0,0,0,129,548,123,70,65,19,39,1,11,3,1,123,"Alec Marsh",27451,679525
