Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Matt Waldron","SDP",146.2,-0.7723838924079813,,1.8789427540313577,,,0.6405990961253136,0.49772456349659355,,,,,,-1.0866638300890592,"Matt Waldron",25550,663362
"George Kirby","SEA",191,0.4597062032296144,,0.7922279563817111,-2.047900174627241,,1.5027667928524262,1.282591833348288,,-1.9474690833700046,,,,-3.5048704594373703,"George Kirby",25436,669923
"Adam Ottavino","NYM",56,2.7985771497090655,,-2.7703831128984966,,,0.810849631840564,-0.3702512830129713,,,,-1.750423789024353,,,"Adam Ottavino",1247,493603
"Matt Moore","LAA",48.1,1.0126798925265459,,-33.12100569407146,,,,,,-0.35393786430358887,,-1.8097630187646665,,,"Matt Moore",1890,519043
"Clayton Kershaw","LAD",30,-2.6122968749137923,,,-4.615594040263782,,-2.439410984516144,-0.1123649085109884,0.6728090891023961,,,3.8857579231262207,,,"Clayton Kershaw",2036,477132
"Lance Lynn","STL",117.1,0.8662393159955462,,-1.0279978949593027,,,-0.4611722185464898,-1.622820129761329,-1.9764348277895467,,,-2.4669190868735313,,,"Lance Lynn",2520,458681
"Kenley Jansen","BOS",54.2,,,0.8294643374050364,,,1.7457553895853333,4.259427901237242,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","TEX",43.1,0.05418626832313278,,2.8862046032417115,,,,1.2002446361490198,-2.132748916584958,,,-1.9645096153341313,,,"Max Scherzer",3137,453286
"T.J. McFarland","OAK",56.2,4.870711266994476,,5.4773960262537,,,1.022509988305604,0.9408953033875083,,,,-1.0153420920510894,,,"T.J. McFarland",3237,519008
"Justin Wilson","CIN",46.2,-2.3256651245721494,,1.7846386043392881,1.9026385413275824,,,-1.0169810143069944,,,,,,,"Justin Wilson",4301,458677
"Charlie Morton","ATL",165.1,-1.40283326653038,,-0.7536485859248192,,,0.39382762667061627,,0.7799766069736304,,,-1.3781782081927072,,,"Charlie Morton",4676,450203
"Jake Diekman","NYM",32,-0.38415842379132903,,,,,-18.968504667282104,0.2548368266932872,,,,-5.916256982772077,,,"Jake Diekman",5003,518617
"Jesse Chavez","ATL",63.1,,,0.7377251451503045,,,-0.724852891154985,-13.338464849135455,0.3401241073869679,,,0.7115104368754795,,,"Jesse Chavez",5448,445926
"Ryan Brasier","LAD",28,4.250987090847709,,4.045183393690321,,,1.2438591386451097,-2.3873928038379812,,,,,,,"Ryan Brasier",5615,518489
"Huascar Brazobán","- - -",51.2,1.4246000623216435,,1.7075096922261372,,,-1.2660083390468926,,,,,1.4910486894984578,,,"Huascar Brazoban",6107,623211
"Albert Suárez","BAL",133.2,-0.35640217410525576,,0.7313206381754044,,,,,0.40797438170458816,,,-0.49993871094344494,,,"Albert Suarez",6175,544150
"Carlos Carrasco","CLE",103.2,-0.8445660634474321,,,,,-1.9563210010528564,-0.9633018615398001,1.4943859033417284,,,-1.0868380186183901,,,"Carlos Carrasco",6632,471911
"Craig Kimbrel","BAL",52.1,-0.1442386191102523,,,,,,1.583711644436451,,-0.23811056459550378,,-3.0893704295158386,,,"Craig Kimbrel",6655,518886
"Chase Anderson","- - -",58.1,-3.8014942447081306,,-1.1861412287798039,,,3.3679640687563843,0.48356814817948773,1.351301735494195,,,0.9433470883415741,,,"Chase Anderson",6895,502624
"Martín Pérez","- - -",135,-8.229404071281696,,-0.6136786766365568,,,0.5730453127917228,-51.057422161102295,0.6238184628948089,,,-1.2678244394694498,,,"Martin Perez",6902,527048
"Luis García","- - -",59,-0.8042645996267145,,-1.1281250417232513,-1.359324505229196,,0.33474712614800517,-0.008095173459304007,,,,,,,"Luis Garcia",6984,472610
"Ryan Pressly","HOU",56.2,-0.5672995889149952,,,,,-5.64376010614283,0.9176689386367797,0.04070528253480112,,,-0.6076890009420889,,,"Ryan Pressly",7005,519151
"Fernando Cruz","CIN",66.2,-0.02401523871332327,,-2.064046990830464,1.830261633331171,,,,,,,-4.83221560716629,,,"Fernando Cruz",7048,518585
