Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Pierson Ohl","MIN",30,10.72495776151134,,5.06308650970459,,,10.858333587646484,,-6.026241064071655,,,3.1150677936833078,,4.698004913330078,"Pierson Ohl",30179,701487
"Adrian Morejon","SDP",73.2,9.823431199596774,,7.746596854073661,,,6.323180359679383,-0.45298311186999807,,,,1.9155295400908499,,-1.2629088401794433,"Adrian Morejon",20039,670970
"Clayton Kershaw","LAD",112.2,10.22927813506632,,,7.514221045435692,,9.40694219415838,4.904573477131047,-8.279987713958644,-12.716442108154297,1.0932756662368774,,,,"Clayton Kershaw",2036,477132
"Kenley Jansen","LAA",59,,,11.135797595301419,,,10.941036909054487,-0.18445494116806402,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","TOR",85,9.412730955582344,,4.60892571343316,,,,2.3752740088929523,-3.742657285748106,,,2.83420660556891,,,"Max Scherzer",3137,453286
"Justin Wilson","BOS",48.1,11.263734344402742,,7.894984436035156,2.2431981156512006,,,2.2004556094898895,,,,,,,"Justin Wilson",4301,458677
"Charlie Morton","- - -",142,7.098974769765681,,3.056015047819718,,,2.6873477564229593,,-5.128845464987833,,,-1.9656978652411299,,,"Charlie Morton",4676,450203
"Ryan Brasier","CHC",26,9.101916866702632,,5.880331039428711,,,6.330783787058361,1.7515834318080419,,,,,,,"Ryan Brasier",5615,518489
"Huascar Brazobán","NYM",63,8.37584554116557,,4.6837350726127625,,,5.030136848717044,,,,,1.5033790687461952,,,"Huascar Brazoban",6107,623211
"Carlos Carrasco","- - -",45.2,6.937629699707031,,,,,3.0245135934012275,2.566883764896296,-3.180334026996906,,,1.1210638161861535,,,"Carlos Carrasco",6632,471911
"Martín Pérez","CHW",56,8.490258693695068,,6.284637300393327,,,5.64385250734172,,-1.944222043355306,,,5.522934018875181,,,"Martin Perez",6902,527048
"Luis García","- - -",55.1,9.665189889761118,,,3.2236148071289064,,6.487373072439463,2.182763497561019,,,,,,,"Luis Garcia",6984,472610
"Ryan Pressly","CHC",41.1,9.28784280156893,,,,,5.714161799504207,1.8617078508649554,-6.687092599693251,,,3.243075396563556,,,"Ryan Pressly",7005,519151
"Fernando Cruz","NYY",48,10.345494887408089,,,0.37132957633701397,,8.099434911677267,0.4869607154359209,,,,,,,"Fernando Cruz",7048,518585
"Hunter Strickland","LAA",22,8.876727764423077,,,,,3.1925120762416292,0.4934796785053454,,,,3.600282941545759,,,"Hunter Strickland",7836,519326
"Justin Verlander","SFG",152,11.224782582875845,,,,,9.494537353515625,2.753453408518145,-6.621095637685245,,,5.885171426309122,,,"Justin Verlander",8700,434378
"Kirby Yates","LAD",41.1,7.889585182883523,,,0.25824166528926873,,,0.4668561816215515,,,,3.378037214279175,,,"Kirby Yates",9073,489446
"Nathan Eovaldi","TEX",130,7.51260319462529,,6.670755123782468,0.35819264662226175,,5.622896489408827,2.183808202328889,-4.8985173771438,,,,,,"Nathan Eovaldi",9132,543135
"Patrick Corbin","TEX",155.1,8.83523308249081,,3.9857484080308785,,,6.670373838349015,0.6687065305115169,-1.5905042012532553,,,5.499871880439535,,,"Patrick Corbin",9323,571578
"Miles Mikolas","STL",156.1,8.877775969328704,,,,,5.570860021254596,3.830112627208141,-8.444827057594477,-7.49229113260905,,4.288123070776879,,,"Miles Mikolas",9803,571945
"Brooks Raley","NYM",25.2,,,3.858128474308894,,,2.5092146853183177,2.721091802866181,,,,-0.15473936188895748,,,"Brooks Raley",10061,548384
"Caleb Thielbar","CHC",58,11.172200059755665,,,,,,1.6657908935546875,-8.533170021186441,,,,,,"Caleb Thielbar",10078,573204
"Shelby Miller","- - -",46,10.335543021628384,,,2.933686204731758,,,1.707060158252716,,,,,,,"Shelby Miller",10197,571946
"Aroldis Chapman","BOS",61.1,10.98466573735719,,,2.8962959363622574,,10.054450611076733,3.0769899217344876,,,,,,,"Aroldis Chapman",10233,547973
"Zack Wheeler","PHI",149.2,8.373278821037207,,5.286077110512743,2.674950941553656,,4.451041106802825,1.4966344456214689,-5.864277114216079,,,,,,"Zack Wheeler",10310,554430
"Michael Tonkin","MIN",24,6.588582356770833,,,,,3.908749728732639,-0.13055197626566714,,,,,,,"Michael Tonkin",10315,543859
"Chris Sale","ATL",125.2,5.188343979383299,,,,,0.8164152332714626,-1.882918119430542,,,,-0.42252045989836623,,,"Chris Sale",10603,519242
"Jacob deGrom","TEX",172.2,9.642914198877806,,,,,,1.7165471462121693,-2.974224119258106,,,1.4966698598053496,,,"Jacob deGrom",10954,594798
"Merrill Kelly","- - -",184,8.528050363799672,,6.9083619634789155,,,3.6146114148591693,2.2112189743119446,-5.647730249558052,,,0.3591297890277619,,,"Merrill Kelly",11156,518876
"Tommy Kahnle","DET",63,9.728594760237069,,,,,,3.2759134769439697,,,,0.7848666430057845,,,"Tommy Kahnle",11384,592454
"Jose Quintana","MIL",131.2,9.150377168430119,,,,,7.13606191978295,,-2.2580596671616737,,,2.4920316060384113,,,"Jose Quintana",11423,500779
"Drew Pomeranz","CHC",49.2,9.952666938110749,,,,,,,,-5.880541401524698,,,,,"Drew Pomeranz",11426,519141
"Robbie Ray","SFG",182.1,10.61495028409091,,,,,,5.483156377618963,,-2.7497344723930257,,7.066714026276629,,,"Robbie Ray",11486,592662
"José Ureña","- - -",55,6.687670870944187,,,5.2288016042401715,,4.3554276084899906,4.712325223286947,,,,5.286894259245499,,,"Jose Urena",11589,570632
"Jameson Taillon","CHC",129.2,10.640459676427165,,4.917475822475129,,,8.498739803538603,-0.09925983263098676,-5.196077234604779,,,4.799752213836256,,,"Jameson Taillon",11674,592791
"Luke Jackson","- - -",51,10.902514272661351,,6.395938237508138,,,,-2.617468821601966,-6.716492518905766,,,4.385249078273773,,,"Luke Jackson",11752,592426
"Héctor Neris","- - -",26.2,10.429941928224865,,11.639644622802734,-0.2762850829820593,,6.675332260131836,3.380124721676111,,,,1.8215999603271484,,,"Hector Neris",11804,593576
"Taijuan Walker","PHI",123.2,10.171557773687901,,7.48388927828881,2.7268744977452584,,7.571147964440947,3.523665006580271,-5.822178948194461,,,,,,"Taijuan Walker",11836,592836
"Chris Martin","TEX",42.1,8.840938702300566,,4.772607636033443,1.7622037904452434,,6.663742616952184,-2.1613048825945174,,-10.8372802734375,,,,,"Chris Martin",11847,455119
