Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Carson Palmquist","COL",7.0776705582322945,6.553398665029902,1.08,2.621359466011961,0.15428571,0.14285714,0.01142857,0.30612244897959184,2.0388351402315252,0.3181818181818182,0.6440678,186.1987039044659,177.319592127609,157.5394920220889,8.912622184440666,7.795330924450274,1.1172912599903917,6.568509673285101,6.002485385801938,"Carson Palmquist",31612,687223
"Bradley Blalock","COL",4.142045634098297,3.5284092438615122,1.17391304,2.607954658506335,0.09818182,0.08363636,0.01454546,0.3413654618473896,1.8409091707103544,0.33170731707317075,0.5733945,195.50240625425914,166.42642943281993,136.33049448528874,9.357954951110967,7.311272862873794,2.046682088237173,5.672878777618786,5.763747909081306,"Bradley Blalock",26419,687134
"Luis Gil","NYY",6.473684210526316,5.2105263157894735,1.24242424,0.7894736842105263,0.16803279,0.1352459,0.03278689,0.22380952380952382,1.4035087719298245,0.25609756097560976,0.78378378,81.86229445400774,108.91332983743263,135.9432540208407,3.3157894736842106,4.626364388382226,-1.310574914698015,5.649858163532458,5.740658762200142,"Luis Gil",21052,661563
"Erick Fedde","- - -",5.297872519590246,4.2765958893077896,1.23880597,1.212765998460418,0.13322632,0.10754414,0.02568218,0.26582278481012656,1.5177305477808738,0.2838137472283814,0.66701681,132.33821797768795,127.39326333835852,130.4915085435938,5.489361887768207,5.1989661752359195,0.2903957125322876,5.426305303334141,5.597046824175089,"Erick Fedde",17425,607200
"Daysbel Hernández","ATL",8.027028682199155,7.297298801999232,1.1,0.7297298801999231,0.20121951,0.18292683,0.01829268,0.20454545454545456,1.5405408581998379,0.25,0.78467153,80.53940104080523,122.78104158043588,135.8919954998121,3.4054061075996414,5.000001567606591,-1.5945954600069498,5.6543614837943235,5.5456084443137295,"Daysbel Hernandez",20271,678226
"Roki Sasaki","LAD",6.935780059246801,5.449541475122486,1.27272727,1.4862385841243144,0.17391304,0.13664596,0.03726708,0.22058823529411764,1.4311927106382287,0.23529411764705882,0.79399142,106.49628344546562,135.4843910512388,132.8317903172145,4.458715752372943,5.804861182281945,-1.3461454299090017,5.525132636280106,5.5225824486738775,"Roki Sasaki",35323,808963
"McCade Brown","COL",8.064935864033474,5.961039551676916,1.35294118,2.1038963123565586,0.18253968,0.13492063,0.04761905,0.28846153846153844,1.8311690126066344,0.32,0.71100917,153.83796759378336,158.37108388356316,147.31791880333788,7.363637093247956,6.953318514705727,0.41031857854222853,6.136864718772557,5.470244320408944,"McCade Brown",30004,685326
"Zach Agnos","COL",5.457447694404714,4.882979516046324,1.11764706,1.4361704458959776,0.13768116,0.12318841,0.01449275,0.256198347107438,1.5319151422890427,0.26804123711340205,0.56097561,138.0177597970462,128.46753597368257,136.16337533275993,6.606384051121497,5.624498424426482,0.9818856266950142,5.6658215333524,5.4653252896707905,"Zach Agnos",31552,688642
"Carson Whisenhunt","SFG",6.171428907744757,4.628571680808568,1.33333333,2.314285840404284,0.15686275,0.11764706,0.03921569,0.25,1.4571429365508453,0.24242424242424243,0.79710145,122.0935345658473,171.83736163295868,131.75993834227725,5.014285987542615,6.906565095161916,-1.8922791076193013,5.4798695943721105,5.458448035763852,"Carson Whisenhunt",31676,687931
"Austin Gomber","COL",5.306358615516205,2.6531793077581023,2,2.497109936713508,0.125,0.0625,0.0625,0.3228346456692913,1.7167630814905368,0.3235294117647059,0.6314433,156.50566940941107,148.15388830154163,136.3295691794066,7.491329810140524,6.499298316279152,0.9920314938613721,5.672839703045151,5.436249824433236,"Austin Gomber",16561,596295
