Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Anthony Molina","COL",0.3448275862068966,1.0625,0.208,0.408,0.384,0,0.25,24,6.230769687855771,242,369,611,0.30952381,0.45238095,0.23809524,0.0952381,0.38888889,0.51587302,"Anthony Molina",26952,683627
"Mick Abel","- - -",0.3181818181818182,0.895833333,0.228813559,0.364406779,0.406779661,0.041666666,0.166666666,17,3.923076923076923,256,464,720,0.41525424,0.43220339,0.15254237,0.11016949,0.44067797,0.44915254,"Mick Abel",27756,690953
"Jaden Hill","COL",0.30864197530864196,1.24137931,0.207317073,0.43902439,0.353658536,0.068965517,0.068965517,16,4.909091760304496,174,315,489,0.45783133,0.3253012,0.21686747,0.21686747,0.3373494,0.44578313,"Jaden Hill",30250,677955
"Connor Phillips","CIN",0.16326530612244897,0.615384615,0.192307692,0.307692307,0.5,0.038461538,0.115384615,20,7.20000109863298,148,229,377,0.30769231,0.44230769,0.25,0.17307692,0.38461538,0.44230769,"Connor Phillips",27649,683175
"Dylan Dodd","ATL",0.24210526315789474,1.529411764,0.14,0.52,0.34,0.058823529,0.147058823,22,5.657144090302405,175,361,536,0.52,0.28,0.2,0.17,0.39,0.44,"Dylan Dodd",29928,689266
"Bryce Jarvis","ARI",0.31746031746031744,0.677419354,0.212121212,0.318181818,0.469696969,0.129032258,0.096774193,20,8.181819600507493,167,242,409,0.48484848,0.25757576,0.25757576,0.18181818,0.37878788,0.43939394,"Bryce Jarvis",27477,686826
"Victor Vodnik","COL",0.3014705882352941,1.809523809,0.157142857,0.542857142,0.3,0.047619047,0.095238095,26,4.618421632167117,387,533,920,0.36428571,0.32857143,0.30714286,0.13571429,0.42857143,0.43571429,"Victor Vodnik",24614,680767
"Carson Whisenhunt","SFG",0.24242424242424243,1.068965517,0.154929577,0.436619718,0.408450704,0.137931034,0.206896551,20,7.714286134680946,160,248,408,0.36111111,0.41666667,0.22222222,0.125,0.44444444,0.43055556,"Carson Whisenhunt",31676,687931
"Gunnar Hoglund","ATH",0.29473684210526313,1,0.18095238,0.409523809,0.409523809,0.023255813,0.232558139,26,7.237113686674204,201,347,548,0.4,0.37142857,0.22857143,0.08571429,0.48571429,0.42857143,"Gunnar Hoglund",31318,680684
"Josh Simpson","MIA",0.3411764705882353,2,0.191011235,0.539325842,0.269662921,0.041666666,0.208333333,23,6.750001399413689,230,384,614,0.40449438,0.40449438,0.19101124,0.13483146,0.43820225,0.42696629,"Josh Simpson",25957,681006
"Kevin Kelly","TBR",0.29310344827586204,1.173913043,0.212598425,0.42519685,0.362204724,0.065217391,0.239130434,11,2.495798959375964,207,381,588,0.32283465,0.45669291,0.22047244,0.16535433,0.40944882,0.42519685,"Kevin Kelly",25679,687330
"Elvis Alvarado","ATH",0.27184466019417475,0.954545454,0.211009174,0.3853211,0.403669724,0.113636363,0.136363636,31,6.590551972943641,300,465,765,0.36697248,0.41284404,0.22018349,0.12844037,0.44954128,0.42201835,"Elvis Alvarado",21662,665660
"Germán Márquez","COL",0.33642691415313225,0.902173913,0.21875,0.370535714,0.410714285,0.092391304,0.125,56,3.9894460709079578,782,1305,2087,0.4579646,0.31637168,0.22566372,0.12610619,0.45353982,0.42035398,"German Marquez",15038,608566
"Kyle Freeland","COL",0.32947976878612717,1.137055837,0.213084112,0.418691588,0.368224299,0.076142131,0.111675126,60,3.3196723387466394,793,1689,2482,0.44731978,0.35489834,0.19778189,0.12754159,0.45841035,0.41404806,"Kyle Freeland",16256,607536
"Tanner Gordon","COL",0.33472803347280333,0.87,0.257936507,0.345238095,0.396825396,0.13,0.16,41,4.898230419208251,404,841,1245,0.41176471,0.31764706,0.27058824,0.12156863,0.46666667,0.41176471,"Tanner Gordon",27669,685299
"Austin Cox","ATL",0.328125,1.222222222,0.178082191,0.452054794,0.369863013,0.037037037,0.333333333,10,4.218750445943489,163,264,427,0.43835616,0.42465753,0.1369863,0.1369863,0.45205479,0.4109589,"Austin Cox",24604,680735
"Lance McCullers Jr.","HOU",0.3248407643312102,1.262295081,0.168674698,0.463855421,0.367469879,0.147540983,0.163934426,41,6.668674852042022,474,673,1147,0.48795181,0.3313253,0.18072289,0.18674699,0.40361446,0.40963855,"Lance McCullers Jr.",14120,621121
"Brock Burke","LAA",0.2840909090909091,1.589285714,0.176136363,0.505681818,0.318181818,0.053571428,0.142857142,28,4.086487413382897,347,667,1014,0.4076087,0.32608696,0.26630435,0.17391304,0.41847826,0.4076087,"Brock Burke",17968,656271
"Nestor Cortes","- - -",0.24731182795698925,0.641509433,0.171428571,0.323809523,0.504761904,0.075471698,0.245283018,13,3.40776711650097,233,366,599,0.40566038,0.36792453,0.22641509,0.11320755,0.48113208,0.40566038,"Nestor Cortes",17874,641482
"Cole Winn","TEX",0.1941747572815534,1.289473684,0.163461538,0.471153846,0.365384615,0.078947368,0.078947368,13,2.8080004284668623,236,383,619,0.38679245,0.36792453,0.24528302,0.10377358,0.49056604,0.40566038,"Cole Winn",22113,668390
