Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Matt Strahm","PHI",62.1,120.27066275454219,90.5869316151533,132.76823271601197,62.47119936174491,124.63903233258249,93.87714686442615,82.24897603745379,82.95454274039233,90.74553446399672,105.77621067052296,64.14833076106018,71.51406059778438,102.00796491363924,100.12624706379047,50.184939136962306,155.18963423495006,"Matt Strahm",13799,621381
"Josh Hader","HOU",52.2,151.35287460508232,84.42254980109108,179.28014898930454,113.42087424233107,163.9630122344389,91.45631091670003,64.14104645625667,66.64938193838317,70.37192069061591,118.59434983816672,50.346646369383876,77.66744687954589,75.5489120739054,94.62986081875071,51.50624839407284,153.99104660941885,"Josh Hader",14212,623352
"Kenley Jansen","LAA",59,101.32946855524239,89.49028907177644,113.22956778271865,101.24575380577068,108.2576298556452,95.60897549875908,71.89254256360317,74.0381344687496,67.83052502489535,116.62306756259588,62.56804935048766,93.99265328546235,110.24779499240705,69.68198830494342,65.96057118828892,151.19120937973034,"Kenley Jansen",3096,445276
"Emilio Pagán","CIN",68.2,126.33423353417834,90.45500486836109,139.6652837351577,113.41858019484461,136.7468240448905,97.91038666966975,68.24915032895102,70.80766732899345,68.70733323702609,106.70291085807804,65.31110840336324,85.72878725361026,94.64478555729382,73.7357728755057,67.98890864611673,149.2239669548212,"Emilio Pagan",14771,641941
"Isaac Mattson","PIT",47.2,101.10666128752435,112.53684779557673,89.8431649718394,65.35448887039935,103.59607869757146,115.30768630868293,80.97356818689106,87.43085439620036,83.20028634171128,116.27881312172785,57.241083853411986,89.02188421197951,118.73467773304084,82.02390227735572,64.36687054813048,148.91300591375736,"Isaac Mattson",20385,676755
"Kyle Hart","SDP",43,92.15423681418679,85.35536515180901,107.96537604602503,163.0062541668869,94.22034407970654,87.26903427990044,94.88296509146849,91.535058988473,84.42850270651509,86.34565325640635,144.7051067392077,125.7866636975125,118.84937433067347,60.9509411277163,76.52835308309943,146.42892922507653,"Kyle Hart",19646,606996
"AJ Blubaugh","HOU",32,114.71783938466662,95.52498988885023,120.09196583015616,140.00388488246648,125.44283941959722,104.45564576681063,62.55562541171692,68.25390080036183,53.24436327385224,107.60934332842382,41.431092407542835,106.31235130318936,98.05899593517549,46.454658814659105,81.6654691918208,146.20688397751934,"AJ Blubaugh",31764,805123
"Cam Booser","CHW",31,118.41845127857056,170.32026897281,69.52692757992043,192.6935782576689,108.77560887356461,156.45105017387849,95.43201485181885,118.26485988924982,88.23001509130867,97.8266757139819,134.30952457456044,146.78913993369477,127.31365280778881,54.75013374117,77.73924471842139,146.20688391106168,"Cam Booser",16061,592155
"Steven Okert","HOU",71.2,122.93486537775988,73.67341234693677,162.8916588896657,62.513376416683066,135.26010505533625,81.05978334465442,73.3783979742977,69.6598105520439,82.3747504534309,97.48699973619318,73.99787447902358,65.62698177355628,88.12876839666934,97.91640677907833,59.377679926475125,144.01815815227127,"Steven Okert",13580,595345
"Luke Weaver","NYY",64.2,116.77906193819008,85.9456464095479,135.8754813392624,115.46713971635101,122.13235236354257,89.88549645667084,79.36640002199279,79.61280992260986,78.90759840241567,100.77993380636434,89.33721610112502,91.32617596989687,98.6663402959115,82.61696802917808,66.61886030693945,144.01815808485853,"Luke Weaver",16918,596133
"Shota Imanaga","CHC",144.2,86.61625413832465,50.74120467101728,170.70201349201537,166.88734498375243,94.05866188228288,55.10108350600862,88.72389542763632,76.28748202753862,75.36773798959496,113.73593640766002,90.32848197532319,119.12854939041384,108.73066792165514,81.9678366432476,69.24168201888797,143.5350767846009,"Shota Imanaga",33829,684007
"Logan Henderson","MIL",25.1,139.5094429605688,89.15660884237087,156.47684570101413,92.22721510876016,151.94091545349298,97.10120952310142,76.49904762146159,76.16113023022551,87.4456968471241,134.1678612728345,42.532869372134236,73.30431795746546,81.65136205475913,114.91569291935284,54.10688816220206,143.1153836645748,"Logan Henderson",31475,701656
"Alex Vesia","LAD",59.2,143.59532240847116,104.09907642981312,137.9410209898547,117.47379284210683,153.8642180538144,111.54347887990626,72.14910177631964,76.31431751237288,79.49608804284011,116.73125984421763,72.05522787403223,88.716320999032,86.49015387878731,87.97575012220837,67.78225546079634,142.01618702191465,"Alex Vesia",25007,681911
"José Fermin","LAA",34.1,119.14109688887716,186.15993726470316,63.99932088620589,173.98543611420172,114.03037061817996,178.17434410294192,81.21307067467842,109.0547924692446,73.14377177014045,101.4498858647409,107.51986077305527,142.37787155046186,123.99647137069599,74.640631493306,73.37187139245891,140.8678684003788,"Jose Fermin",33908,820862
"Tyler Wells","BAL",21.2,87.13513506531945,25.651466569018783,339.68870334815597,137.84998300624355,97.55694005190608,28.71951154440579,88.35982089405012,68.40391138078186,78.11398749894309,122.64836959274068,72.0165023780224,99.94272393641224,99.79527664983404,57.6936889834794,81.91877401215983,140.31144495082702,"Tyler Wells",20000,669330
"Max Scherzer","TOR",85,101.18306236818997,75.19400273603611,134.5626747447873,166.9065921736071,101.7959131485855,75.64944235999211,108.63528588987614,100.94694572154357,102.14906057554096,101.03410774052747,127.41650119898762,118.22270525183988,109.19855339237607,95.68549281980869,65.52258600261015,138.63441584145735,"Max Scherzer",3137,453286
