Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Clayton Kershaw","LAD",112.2,0.34632768,,,0.05536723,,0.00621469,0.41242938,0.17853107,0.00056497,0.00056497,,,,,"Clayton Kershaw",2036,477132
"Kenley Jansen","LAA",59,,,0.8150289,,,0.09017341,0.09479769,,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","TOR",85,0.48489209,,0.01942446,,,,0.23669065,0.11870504,,,0.14028777,,,,"Max Scherzer",3137,453286
"Justin Wilson","BOS",48.1,0.46936275,,0.14705882,0.0502451,,,0.33333333,,,,,,,,"Justin Wilson",4301,458677
"Charlie Morton","- - -",142,0.27629513,,0.09026688,,,0.1510989,,0.38304553,,,0.09929356,,,,"Charlie Morton",4676,450203
"Ryan Brasier","CHC",26,0.3539604,,0.12871287,,,0.16584158,0.35148515,,,,,,,,"Ryan Brasier",5615,518489
"Huascar Brazobán","NYM",63,0.1256182,,0.12660732,,,0.3669634,,,,,0.38081108,,,,"Huascar Brazoban",6107,623211
"Carlos Carrasco","- - -",45.2,0.21052632,,,,,0.22464698,0.25288832,0.10012837,,,0.21181001,,,,"Carlos Carrasco",6632,471911
"Martín Pérez","CHW",56,0.03563474,,0.28173719,,,0.31069042,,0.08351893,,,0.28841871,,,,"Martin Perez",6902,527048
"Luis García","- - -",55.1,0.01449275,,,0.22296544,,0.42586399,0.33667781,,,,,,,,"Luis Garcia",6984,472610
"Ryan Pressly","CHC",41.1,0.36762481,,,,,0.11800303,0.2118003,0.24659607,,,0.05597579,,,,"Ryan Pressly",7005,519151
"Fernando Cruz","NYY",48,0.19318182,,,0.60479798,,0.14267677,0.05934343,,,,,,,,"Fernando Cruz",7048,518585
"Hunter Strickland","LAA",22,0.35240964,,,,,0.10542169,0.45783133,,,,0.08433735,,,,"Hunter Strickland",7836,519326
"Justin Verlander","SFG",152,0.45398773,,,,,0.00306748,0.30904908,0.14877301,,,0.0851227,,,,"Justin Verlander",8700,434378
"Kirby Yates","LAD",41.1,0.57366362,,,0.41981747,,,0.00521512,,,,0.00130378,,,,"Kirby Yates",9073,489446
"Nathan Eovaldi","TEX",130,0.22523462,,0.20072993,0.31386861,,0.05057351,0.01199166,0.19760167,,,,,,,"Nathan Eovaldi",9132,543135
"Patrick Corbin","TEX",155.1,0.03284389,,0.25193199,,,0.2824575,0.33462133,0.00579598,,,0.0923493,,,,"Patrick Corbin",9323,571578
"Miles Mikolas","STL",156.1,0.28272251,,,,,0.16431736,0.26218284,0.17317761,0.00241643,,0.11518325,,,,"Miles Mikolas",9803,571945
"Brooks Raley","NYM",25.2,,,0.20103093,,,0.24226804,0.42010309,,,,0.13659794,,,,"Brooks Raley",10061,548384
"Caleb Thielbar","CHC",58,0.42073897,,,,,,0.29797378,0.28128725,,,,,,,"Caleb Thielbar",10078,573204
"Shelby Miller","- - -",46,0.61911555,,,0.28958631,,,0.09129815,,,,,,,,"Shelby Miller",10197,571946
"Aroldis Chapman","BOS",61.1,0.40567067,,,0.11232279,,0.3304253,0.15158124,,,,,,,,"Aroldis Chapman",10233,547973
"Zack Wheeler","PHI",149.2,0.40977444,,0.08604845,0.08855472,,0.17000835,0.14786967,0.09774436,,,,,,,"Zack Wheeler",10310,554430
"Michael Tonkin","MIN",24,0.53652393,,,,,0.11335013,0.35012594,,,,,,,,"Michael Tonkin",10315,543859
"Chris Sale","ATL",125.2,0.41949778,,,,,0.03446578,0.47267356,,,,0.07336288,,,,"Chris Sale",10603,519242
"Jacob deGrom","TEX",172.2,0.46021423,,,,,,0.37605203,0.05087988,,,0.11285386,,,,"Jacob deGrom",10954,594798
"Merrill Kelly","- - -",184,0.22881356,,0.20515537,,,0.13418079,0.06956215,0.09675141,,,0.26553672,,,,"Merrill Kelly",11156,518876
"Tommy Kahnle","DET",63,0.14009662,,,,,,0.00386473,,,,0.85603865,,,,"Tommy Kahnle",11384,592454
"Jose Quintana","MIL",131.2,0.11683533,,,,,0.43974241,,0.22263109,,,0.22079117,,,,"Jose Quintana",11423,500779
"Drew Pomeranz","CHC",49.2,0.7675,,,,,,,,0.2325,,,,,,"Drew Pomeranz",11426,519141
"Robbie Ray","SFG",182.1,0.51971326,,,,,,0.22939068,,0.12088628,,0.13000978,,,,"Robbie Ray",11486,592662
"José Ureña","- - -",55,0.35653105,,,0.03319058,,0.10706638,0.25695931,,,,0.24625268,,,,"Jose Urena",11589,570632
"Jameson Taillon","CHC",129.2,0.38504295,,0.14603335,,,0.06872158,0.15108641,0.13744315,,,0.11167256,,,,"Jameson Taillon",11674,592791
"Luke Jackson","- - -",51,0.34183673,,0.00765306,,,,0.49362245,0.15433673,,,0.00255102,,,,"Luke Jackson",11752,592426
"Héctor Neris","- - -",26.2,0.4047619,,0.00732601,0.43406593,,0.07326007,0.02930403,,,,0.05128205,,,,"Hector Neris",11804,593576
"Taijuan Walker","PHI",123.2,0.09461426,,0.30082484,0.22464823,,0.20232897,0.11305192,0.06453178,,,,,,,"Taijuan Walker",11836,592836
"Chris Martin","TEX",42.1,0.31191223,,0.35736677,0.17711599,,0.13009404,0.02194357,,0.0015674,,,,,,"Chris Martin",11847,455119
"Jason Adam","SDP",65.1,0.2266055,,0.00275229,,,,0.43761468,,,,0.33302752,,,,"Jason Adam",11861,592094
"Kyle Hendricks","LAA",164.2,0.15235134,,,,,0.38165565,,0.08239409,,,0.38359891,,,,"Kyle Hendricks",12049,543294
"Yimi García","TOR",21,0.44289694,,,,,0.15041783,0.17827298,0.17270195,,,0.05571031,,,,"Yimi Garcia",12095,554340
"Chris Bassitt","TOR",170.1,0.09296571,,0.1689643,0.04559915,,0.41675504,0.08624956,0.16260163,,,0.02686462,,,,"Chris Bassitt",12304,605135
"Colin Rea","CHC",159.1,0.4210734,,0.07340174,0.1207577,,0.09984215,0.19337017,0.09155485,,,,,,,"Colin Rea",12317,607067
"Seth Lugo","KCR",145.1,0.21176471,,0.1407563,0.00588235,,0.14537815,0.07521008,0.27731092,0.04789916,,0.09579832,,,,"Seth Lugo",12447,607625
"Blake Treinen","LAD",26.2,0.11937378,,0.11154599,,,0.29745597,0.47162427,,,,,,,,"Blake Treinen",12572,595014
"Adrian Houser","- - -",125,0.11680761,,,,,0.45930233,0.15433404,0.11680761,,,0.15274841,,,,"Adrian Houser",12718,605288
"Nick Martinez","CIN",165.2,0.20744475,,0.21170997,,,0.17099651,0.10197751,0.1101202,,,0.19775107,,,,"Nick Martinez",12730,607259
"Rafael Montero","- - -",60.1,0.40349265,,,0.46875,,0.05147059,0.07628676,,,,,,,,"Rafael Montero",12760,606160
"Sonny Gray","STL",180.2,0.22287606,,0.1265171,,,0.17396102,0.20890033,0.18278779,0.00073556,,0.08422214,,,,"Sonny Gray",12768,543243
"John Brebbia","- - -",23.1,0.49019608,,,,,,0.4335512,0.0087146,,,0.06753813,,,,"John Brebbia",12777,605154
"Michael Kelly","ATH",39.2,0.29179331,,0.02583587,,,0.04559271,0.62158055,,,,0.01519757,,,,"Michael Kelly",12791,547184
"Andrew Kittredge","- - -",53,0.10546875,,,0.00911458,,0.35677083,0.52864583,,,,,,,,"Andrew Kittredge",12828,552640
"Shawn Armstrong","TEX",74,0.29095792,,0.24082363,,,0.23366159,0.23366159,0.00089526,,,,,,,"Shawn Armstrong",12857,542888
"Tyler Anderson","LAA",136.1,0.38178709,,0.20478837,,,0.03634032,0.03505772,0.00213767,,,0.33988884,,,,"Tyler Anderson",12880,542881
"Joe Ross","PHI",51,0.37238979,,,,,0.26682135,0.22157773,0.05336427,,,0.08584687,,,,"Joe Ross",12972,605452
"Andrew Chafin","- - -",33.2,0.21172638,,,,,0.39576547,0.38599349,,,,0.00651466,,,,"Andrew Chafin",12988,605177
"Anthony DeSclafani","ARI",38.2,0.16719243,,,0.20347003,,0.19085174,0.22870662,,0.20977918,,,,,,"Anthony DeSclafani",13050,543101
"Yu Darvish","SDP",72,0.14853195,,0.12176166,0.10621762,,0.21243523,0.23920553,0.15457686,0.01208981,,0.00518135,,,,"Yu Darvish",13074,506433
"Eduardo Rodriguez","ARI",154.1,0.46736192,,0.15720355,,,0.08497489,0.04982619,0.03630745,,,0.20432599,,,,"Eduardo Rodriguez",13164,593958
"Danny Coulombe","- - -",43,0.18907563,,0.40616246,,,0.19747899,0.17927171,,0.0280112,,,,,,"Danny Coulombe",13293,543056
"Hoby Milner","TEX",70.1,0.14693172,,,,,0.32843561,0.35090752,,,,0.17372515,,,,"Hoby Milner",13346,571948
"Steven Matz","- - -",76.2,0.00086133,,,,,0.58397933,0.01550388,0.21791559,,,0.18173988,,,,"Steven Matz",13361,571927
"Marcus Stroman","NYY",39,0.04261364,,0.17755682,0.10653409,,0.36505682,0.06534091,0.24289773,,,,,,,"Marcus Stroman",13431,573186
"Pierce Johnson","ATL",59,0.22417355,,0.05475207,,,,,0.72107438,,,,,,,"Pierce Johnson",13435,572955
"Taylor Rogers","- - -",50.2,0.00111857,,,,,0.48993289,0.50894855,,,,,,,,"Taylor Rogers",13449,573124
"Matt Bowman","BAL",24.2,0.02908277,,0.25727069,0.08501119,,0.43400447,0.19463087,,,,,,,,"Matt Bowman",13528,621199
"Blake Snell","LAD",61.1,0.43579767,,,,,,0.11089494,0.21692607,,,0.23638132,,,,"Blake Snell",13543,605483
"Steven Okert","HOU",71.2,0.41254753,,0.00855513,,,,0.57794677,,,,0.00095057,,,,"Steven Okert",13580,595345
"Jakob Junis","CLE",66.2,0.08624031,,,,,0.26937984,0.44476744,,,,0.1996124,,,,"Jakob Junis",13619,596001
"Clay Holmes","NYM",165.2,0.05318379,,0.08285094,,,0.40991317,0.29775687,,,,0.15629522,,,,"Clay Holmes",13649,605280
"Tayler Scott","- - -",27.1,0.47761194,,,0.2891791,,0.02798507,0.20522388,,,,,,,,"Tayler Scott",13652,605463
"Max Fried","NYY",195.1,0.12447732,,0.28047604,,,0.1772274,0.13541332,0.17272435,,,0.10968157,,,,"Max Fried",13743,608331
"Chris Stratton","- - -",21,0.40389294,,,,,0.02676399,0.17761557,0.20924574,,,0.18248175,,,,"Chris Stratton",13761,608717
