Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Adrian Morejon","SDP",73.2,96.79354366179436,,93.99142717633929,,,97.70194551542208,87.49512512703252,,,,90.49545750473484,,86.3,"Adrian Morejon",20039,670970
"Pierson Ohl","MIN",30,91.89955665790929,,85.28750038146973,,,91.5750020345052,,77.92499923706055,,,81.07951124237805,,79.74000244140625,"Pierson Ohl",30179,701487
"Clayton Kershaw","LAD",112.2,88.94910275333274,,,83.12959281765684,,89.27272727272727,85.6861654203232,72.32974808125556,58.599998474121094,46.29999923706055,,,,"Clayton Kershaw",2036,477132
"Kenley Jansen","LAA",59,,,92.8187222960993,,,93.20897185496794,83.251220703125,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","TOR",85,93.59806773924332,,88.0925925925926,,,,86.34255675341946,76.72969933712122,,,84.88512620192307,,,"Max Scherzer",3137,453286
"Justin Wilson","BOS",48.1,94.45691906005221,,91.35917154947917,85.13902319931402,,,87.97022202435662,,,,,,,"Justin Wilson",4301,458677
"Charlie Morton","- - -",142,94.21377615495162,,87.99652152683424,,,94.00363840871043,,81.44005884889697,,,87.5162039896245,,,"Charlie Morton",4676,450203
"Ryan Brasier","CHC",26,93.97552170119918,,89.17115196814903,,,93.96119712715718,85.31478731397172,,,,,,,"Ryan Brasier",5615,518489
"Huascar Brazobán","NYM",63,96.55984136626476,,90.08437252044678,,,96.4094317248568,,,,,90.77506499847809,,,"Huascar Brazoban",6107,623211
"Carlos Carrasco","- - -",45.2,91.4439012480945,,,,,90.35943010602679,84.34923696759994,77.76410381610577,,,84.87272801254736,,,"Carlos Carrasco",6632,471911
"Martín Pérez","CHW",56,89.6937530040741,,85.99367164340416,,,89.55878276209677,,76.36266805013021,,,82.27992136598094,,,"Martin Perez",6902,527048
"Luis García","- - -",55.1,96.50769512469952,,,88.60500244140626,,96.93664998159359,82.85264981503518,,,,,,,"Luis Garcia",6984,472610
"Ryan Pressly","CHC",41.1,93.36008230452676,,,,,93.37820512820512,88.780712890625,81.36441358320552,,,88.71081213048987,,,"Ryan Pressly",7005,519151
"Fernando Cruz","NYY",48,93.90065231821896,,,80.63256784968685,,93.04424778761062,82.35106382978724,,,,,,,"Fernando Cruz",7048,518585
"Hunter Strickland","LAA",22,93.5914546607906,,,,,92.905712890625,83.91118421052632,,,,87.78571428571429,,,"Hunter Strickland",7836,519326
"Justin Verlander","SFG",152,93.92001425253379,,,,,93.30000305175781,85.53660049627791,78.50360925418815,,,84.67882530968468,,,"Justin Verlander",8700,434378
"Kirby Yates","LAD",41.1,92.75409268465908,,,85.89627207880434,,,86.2750015258789,,,,93.69999694824219,,,"Kirby Yates",9073,489446
"Nathan Eovaldi","TEX",130,94.11412217881944,,90.4945413961039,87.60714285714286,,93.34948856314433,85.7434771993886,75.83482952671504,,,,,,"Nathan Eovaldi",9132,543135
"Patrick Corbin","TEX",155.1,91.45411879595588,,87.51119873421324,,,91.55157105410638,80.36512520241682,68.713330078125,,,81.524266199088,,,"Patrick Corbin",9323,571578
"Miles Mikolas","STL",156.1,92.91695045405983,,,,,92.4149528952206,87.00476430491551,76.14116097383722,69.23333231608073,,85.92762510926573,,,"Miles Mikolas",9803,571945
"Brooks Raley","NYM",25.2,,,87.12436147836539,,,90.6531956449468,81.3159509202454,,,,84.03207915683963,,,"Brooks Raley",10061,548384
"Caleb Thielbar","CHC",58,92.83682276912181,,,,,,84.616,75.99364406779661,,,,,,"Caleb Thielbar",10078,573204
"Shelby Miller","- - -",46,94.92511858258929,,,86.89113252386083,,,84.04375267028809,,,,,,,"Shelby Miller",10197,571946
"Aroldis Chapman","BOS",61.1,98.37796118951613,,,91.2291224211165,,99.4244211530528,86.66331075764388,,,,,,,"Aroldis Chapman",10233,547973
"Zack Wheeler","PHI",149.2,96.07258218654434,,91.84805445995146,87.10235480542453,,95.43734643734643,83.72909494173729,81.14102564102564,,,,,,"Zack Wheeler",10310,554430
"Michael Tonkin","MIN",24,92.42018779342723,,,,,92.01333550347222,82.92374381744604,,,,,,,"Michael Tonkin",10315,543859
"Chris Sale","ATL",125.2,94.83063002035651,,,,,93.82714287894113,79.07375005086263,,,,86.64295416710361,,,"Chris Sale",10603,519242
"Jacob deGrom","TEX",172.2,97.49991557564422,,,,,,90.37202759409969,80.8917263862782,,,89.83457362288135,,,"Jacob deGrom",10954,594798
"Merrill Kelly","- - -",184,91.8479923201196,,90.64165534907487,,,92.19579050164474,85.79035632138324,81.67299234432025,,,88.32087610123006,,,"Merrill Kelly",11156,518876
"Tommy Kahnle","DET",63,93.51379310344828,,,,,,86.3499984741211,,,,86.68272961343115,,,"Tommy Kahnle",11384,592454
"Jose Quintana","MIL",131.2,90.40984098179133,,,,,90.51318155073221,,78.29214553202479,,,85.58771158854167,,,"Jose Quintana",11423,500779
"Drew Pomeranz","CHC",49.2,92.72849892482695,,,,,,,,83.72150445753529,,,,,"Drew Pomeranz",11426,519141
"Robbie Ray","SFG",182.1,93.58194553291536,,,,,,87.78096701882102,,81.20404102088949,,84.84787163220551,,,"Robbie Ray",11486,592662
"José Ureña","- - -",55,96.15435369451482,,,84.98709647886214,,96.15700134277344,87.55999984741212,,,,88.7795654296875,,,"Jose Urena",11589,570632
"Jameson Taillon","CHC",129.2,92.25891978346456,,85.76609131704153,,,92.3029426125919,80.21070234113712,79.64448816636029,,,84.03212492929865,,,"Jameson Taillon",11674,592791
"Luke Jackson","- - -",51,94.15298507462687,,90.48333231608073,,,,87.20103561046511,83.999171737797,,,85.75,,,"Luke Jackson",11752,592426
"Héctor Neris","- - -",26.2,92.37782694958993,,89.42500305175781,83.0864999505538,,92.6050018310547,86.31249856948853,,,,88.85714285714286,,,"Hector Neris",11804,593576
"Taijuan Walker","PHI",123.2,92.2097430889423,,87.11338520665322,87.35140747333963,,92.01414727592926,83.57768282255901,74.92330863780545,,,,,,"Taijuan Walker",11836,592836
"Chris Martin","TEX",42.1,94.66985317211055,,91.38333504660088,88.3707999170354,,94.30964090737952,83.89285714285714,,78.69999694824219,,,,,"Chris Martin",11847,455119
"Jason Adam","SDP",65.1,94.59311740890688,,85.93332926432292,,,,82.73417026991615,,,,88.16418625172176,,,"Jason Adam",11861,592094
